Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
ERR579138_2 - polyg	(1, 0.004591557418113885)	(2, 0.005709858882914899)	(3, 0.009079255304939554)	(4, 0.013231221218531226)	(5, 0.01677935264788909)	(6, 0.019914461290031025)	(7, 0.022312891861407717)	(8, 0.024358683093991862)	(9, 0.026667746161701946)	(10, 0.031450115276833716)	(12, 0.039326532289179525)	(14, 0.04503759884106289)	(16, 0.05007357843957286)	(18, 0.0549537687411505)	(20, 0.05954049548339052)	(22, 0.06405113908061708)	(24, 0.06837097098082574)	(26, 0.07285142285384061)	(28, 0.07765190700349939)	(30, 0.0826262954846175)	(32, 0.08727461334424938)	(34, 0.09191206218316503)	(36, 0.09642149811142312)	(38, 0.10081016714283444)	(40, 0.10501406282207022)	(42, 0.10894864832133772)	(44, 0.112947240275934)	(46, 0.11685042638202134)	(48, 0.12086230269527076)	(50, 0.12472442805643022)	(52, 0.12857085372099958)	(54, 0.13239795668207346)	(56, 0.13607530869105738)	(58, 0.13966208552740617)	(60, 0.14347952713673234)	(62, 0.14723416995969815)	(64, 0.1510673112656144)	(66, 0.15494030564749003)	(68, 0.15899324270566736)	(70, 0.16287227543238536)	(72, 0.16696385789755364)	(74, 0.17101558728676247)	(76, 0.1750697320139083)	(78, 0.17929657340354493)	(80, 0.18378185595243368)	(82, 0.18822970076329992)	(84, 0.19265943053963913)	(86, 0.1973934928960322)	(88, 0.20195727392787133)	(90, 0.2055283510676301)
ERR579139_1 - illumina_universal_adapter	(1, 3.271269981428182e-05)	(2, 4.6342991403565916e-05)	(3, 8.995992448927502e-05)	(4, 0.00023444101533568642)	(5, 0.00025352342356068416)	(6, 0.00033803123141424554)	(7, 0.00037346998954638415)	(8, 0.0004470735641285183)	(9, 0.0005206771387106523)	(10, 0.0007251315125499138)	(12, 0.001138129347705222)	(14, 0.0017528554983819345)	(16, 0.0024984324483157743)	(18, 0.003249461514885328)	(20, 0.003911893686124535)	(22, 0.004401221154179834)	(24, 0.004950521905227982)	(26, 0.005289916165801157)	(28, 0.005648392834599328)	(30, 0.006223591139667117)	(32, 0.007155903084374149)	(34, 0.008520295272461486)	(36, 0.010187279933830931)	(38, 0.01280293288981455)	(40, 0.01735408725147651)	(42, 0.024933892404277392)	(44, 0.035812228121685025)	(46, 0.049766920650794085)	(48, 0.06899517299579716)	(50, 0.09566692757770827)	(52, 0.13315159247739844)	(54, 0.17991030777443753)	(56, 0.23549054778806128)	(58, 0.30205271373517123)	(60, 0.38314613354561694)	(62, 0.47843686507546096)	(64, 0.5881443560192907)	(66, 0.7081195456173284)	(68, 0.8382929193824682)	(70, 0.9786808336646176)	(72, 1.1312296941027262)	(74, 1.298511536719692)	(76, 1.4773055236129673)	(78, 1.6587042592289545)	(80, 1.8462611605849806)	(82, 2.040776325797336)	(84, 2.2470925974676934)	(86, 2.464606153678648)	(88, 2.6826349349116776)	(90, 2.844404687609937)
ERR579139_1 - polya	(1, 0.008478041368534707)	(2, 0.015917454517965966)	(3, 0.019480412739404828)	(4, 0.02537415082261127)	(5, 0.028214703589818074)	(6, 0.03131968401385699)	(7, 0.0351007269007244)	(8, 0.04211214889425213)	(9, 0.0560913759482219)	(10, 0.06803560046791154)	(12, 0.07601068407680167)	(14, 0.08892811141596621)	(16, 0.099746473850381)	(18, 0.1105130411767565)	(20, 0.12281710539440324)	(22, 0.13800670234150145)	(24, 0.15630945788759215)	(26, 0.1778371404237074)	(28, 0.19304309372071277)	(30, 0.20704140318290754)	(32, 0.21981026034374887)	(34, 0.23369407535659364)	(36, 0.24488454475139587)	(38, 0.25565111207777136)	(40, 0.2666194077196683)	(42, 0.2798612359986578)	(44, 0.2914456208203904)	(46, 0.30444619293824954)	(48, 0.3160101323225981)	(50, 0.3257326193132345)	(52, 0.3355314359367708)	(54, 0.34672599441904983)	(56, 0.35803913643815566)	(58, 0.3685058373495669)	(60, 0.37779215500934615)	(62, 0.38899489166657875)	(64, 0.3987405501529169)	(66, 0.4126734342154831)	(68, 0.4304255259813667)	(70, 0.44594906507240234)	(72, 0.45775698667619913)	(74, 0.4685862533438854)	(76, 0.4812815069301446)	(78, 0.4934942481941431)	(80, 0.5030940625604758)	(82, 0.5129746609335479)	(84, 0.5256494690824232)	(86, 0.5414646964134695)	(88, 0.5542798965657145)	(90, 0.5657634172296863)
ERR579139_2 - illumina_universal_adapter	(1, 2.453452486071137e-05)	(2, 2.9986641496425005e-05)	(3, 5.724722467499319e-05)	(4, 0.00017991984897855004)	(5, 0.00020172831552140458)	(6, 0.00028351006505710917)	(7, 0.0003189488231892478)	(8, 0.0003816481644999546)	(9, 0.0004525256807642319)	(10, 0.0006433497630142092)	(12, 0.0010440803357391615)	(14, 0.0016451761948265901)	(16, 0.00239075314476043)	(18, 0.0031717688528264086)	(20, 0.0038301119365888306)	(22, 0.004322165462961986)	(24, 0.004897363768029775)	(26, 0.0052558404368279465)	(28, 0.005626584368056474)	(30, 0.006215412964713547)	(32, 0.007183163667552717)	(34, 0.008568001293023982)	(36, 0.010289507120750562)	(38, 0.012962407301409174)	(40, 0.017614425820831836)	(42, 0.02535915750186306)	(44, 0.03644194759310995)	(46, 0.05070604774129576)	(48, 0.07030368098836842)	(50, 0.09750429088394376)	(52, 0.1357726975500178)	(54, 0.1835986646784978)	(56, 0.24039472670188572)	(58, 0.30852165012344546)	(60, 0.3914265356861071)	(62, 0.48885313390799184)	(64, 0.6008832265386357)	(66, 0.7233977394597568)	(68, 0.8559305166990019)	(70, 0.9990894692612526)	(72, 1.1546860628987252)	(74, 1.3256535363614335)	(76, 1.507979131805492)	(78, 1.6929817165176861)	(80, 1.8843809970727312)	(82, 2.0826853833469077)	(84, 2.2923833303605665)	(86, 2.513780156645308)	(88, 2.735040680014157)	(90, 2.8991330343992305)
ERR579139_2 - polya	(1, 0.01732682666829794)	(2, 0.021745767201543843)	(3, 0.02529782118971128)	(4, 0.03091895344113204)	(5, 0.03531063339119937)	(6, 0.039620531591731005)	(7, 0.044129432049466184)	(8, 0.05197230182994025)	(9, 0.06180246812413194)	(10, 0.0739007149387805)	(12, 0.08485538028908812)	(14, 0.10021808193937023)	(16, 0.12298475798095145)	(18, 0.14037292096140117)	(20, 0.1565438989029278)	(22, 0.17259901936594557)	(24, 0.18787176109173837)	(26, 0.20531444523854525)	(28, 0.22103834961594337)	(30, 0.2352138528687988)	(32, 0.24877190391265971)	(34, 0.26295285928215084)	(36, 0.2769675250942528)	(38, 0.290367464755678)	(40, 0.3055625138194119)	(42, 0.31861624407446926)	(44, 0.3320475334065498)	(46, 0.3467491659147516)	(48, 0.3620178185530677)	(50, 0.37746502801120335)	(52, 0.3919090480083677)	(54, 0.4084521329102818)	(56, 0.4222841528150873)	(58, 0.4353065333994893)	(60, 0.44835072245043417)	(62, 0.46077064414658986)	(64, 0.4752296574645024)	(66, 0.49086223888825237)	(68, 0.5053117110020524)	(70, 0.5220537981611701)	(72, 0.5391039299102056)	(74, 0.5526933306247218)	(76, 0.566567604433454)	(78, 0.5797576376044042)	(80, 0.5914251672048315)	(82, 0.6029550308602069)	(84, 0.6168156743773499)	(86, 0.63276584159513)	(88, 0.6457636876546715)	(90, 0.6556006690946578)
ERR579139_2 - polyg	(1, 0.004830575339242283)	(2, 0.005967341657788576)	(3, 0.009592999220538145)	(4, 0.013807485379944787)	(5, 0.017056946894830116)	(6, 0.019995637761479765)	(7, 0.02242455572269019)	(8, 0.02450999033585066)	(9, 0.026865304722478948)	(10, 0.03146280207554447)	(12, 0.03859008154758113)	(14, 0.04414033628273761)	(16, 0.049221708987222716)	(18, 0.05413270304684178)	(20, 0.05891829842383942)	(22, 0.06397922569094061)	(24, 0.06888340460476503)	(26, 0.07378622048943051)	(28, 0.07889212771877634)	(30, 0.08401711735634715)	(32, 0.08891448112437693)	(34, 0.09378049522175136)	(36, 0.09868331110641684)	(38, 0.10320311579742344)	(40, 0.10773382472170148)	(42, 0.11214322405083488)	(44, 0.1162132291193951)	(46, 0.12040454378309998)	(48, 0.12485756004531909)	(50, 0.12896709295948822)	(52, 0.13309979736935917)	(54, 0.1371071030966087)	(56, 0.14109396338647429)	(58, 0.14484910871932205)	(60, 0.1488768598839555)	(62, 0.15286235714466218)	(64, 0.15693372524238136)	(66, 0.16085379710345943)	(68, 0.16477250593537862)	(70, 0.16893519698674597)	(72, 0.17298339358876336)	(74, 0.17745276620088962)	(76, 0.18209796957451763)	(78, 0.18656052704084924)	(80, 0.19108442081933263)	(82, 0.19574870660118565)	(84, 0.20045660931612436)	(86, 0.20506501090246132)	(88, 0.20965160402225544)	(90, 0.21297875819919967)
ERR579140_1 - illumina_universal_adapter	(1, 1.774382122993648e-05)	(2, 2.6615731844904717e-05)	(3, 0.00010646292737961887)	(4, 0.00026837529610278927)	(5, 0.00029499102794769395)	(6, 0.000408107888288539)	(7, 0.0004325056424797017)	(8, 0.0005345326145518364)	(9, 0.000629905653662745)	(10, 0.0008849730838430818)	(12, 0.0013618382793976246)	(14, 0.0019839810112722723)	(16, 0.002738093413544573)	(18, 0.0034356473856464505)	(20, 0.0040455912404255175)	(22, 0.004613393519783484)	(24, 0.00523331827400439)	(26, 0.005766741899729356)	(28, 0.006337871145567936)	(30, 0.007378102665172963)	(32, 0.009095926357996187)	(34, 0.011678761335778817)	(36, 0.015102209844329684)	(38, 0.02006160787809693)	(40, 0.02859749487852325)	(42, 0.043191787840146004)	(44, 0.06285526872939623)	(46, 0.08793061509377709)	(48, 0.1213610832798043)	(50, 0.168020679181576)	(52, 0.22933888939692898)	(54, 0.3054454656186072)	(56, 0.39391837624872417)	(58, 0.49459238195207633)	(60, 0.6128128088741818)	(62, 0.7499969447357819)	(64, 0.9025893713579283)	(66, 1.0661363896119065)	(68, 1.2361676655365996)	(70, 1.4152804509645396)	(72, 1.608647069784253)	(74, 1.8167843107890618)	(76, 2.0330227151741633)	(78, 2.248874082458687)	(80, 2.4676897768774366)	(82, 2.6946709560284376)	(84, 2.931320299772101)	(86, 3.175015049532875)	(88, 3.4170696048187073)	(90, 3.596798988034388)
ERR579140_1 - polya	(1, 0.010965681520100743)	(2, 0.019502677509353934)	(3, 0.022984902425728967)	(4, 0.028720592638305932)	(5, 0.0315773478563257)	(6, 0.034513950269880196)	(7, 0.037832044839878315)	(8, 0.04409339575639215)	(9, 0.056633841410649755)	(10, 0.06988293092527795)	(12, 0.07926608538943375)	(14, 0.09303196369738384)	(16, 0.10793122858639612)	(18, 0.12270517773797197)	(20, 0.13980024050418893)	(22, 0.1592164168850469)	(24, 0.18404334975220865)	(26, 0.2081194971835787)	(28, 0.22403792280448548)	(30, 0.24030900687233722)	(32, 0.2530856671467183)	(34, 0.2657669543819886)	(36, 0.27666166061716957)	(38, 0.28751644325458325)	(40, 0.29979405855687236)	(42, 0.311457294049075)	(44, 0.3228122306474075)	(46, 0.33453867850274177)	(48, 0.34667767020167206)	(50, 0.35858266525813254)	(52, 0.36907813551564)	(54, 0.38044083503576054)	(56, 0.3918600929860515)	(58, 0.40209827783572494)	(60, 0.41170433905408177)	(62, 0.42250921719428625)	(64, 0.4330479380160416)	(66, 0.45185749750860116)	(68, 0.46582410279421493)	(70, 0.4785464226160794)	(72, 0.49092606489044066)	(74, 0.5023242520530211)	(76, 0.5148402999530876)	(78, 0.5267940905179305)	(80, 0.5362593101552746)	(82, 0.5462257927423646)	(84, 0.5589081889664617)	(86, 0.5731808751682919)	(88, 0.5850647994370418)	(90, 0.5945666157056728)
ERR579140_2 - illumina_universal_adapter	(1, 1.996179888367854e-05)	(2, 2.6615731844904717e-05)	(3, 9.759101676465063e-05)	(4, 0.00025284945252659484)	(5, 0.0002772472067177575)	(6, 0.0003925820447123446)	(7, 0.00042363373186473345)	(8, 0.0005234427262831261)	(9, 0.0006210337430477767)	(10, 0.0008794281397087268)	(12, 0.0013529663687826565)	(14, 0.001980654044791659)	(16, 0.002746965324159541)	(18, 0.0034545001957032584)	(20, 0.004073315961097293)	(22, 0.004649990151070229)	(24, 0.005267696927637393)	(26, 0.0058088834751504545)	(28, 0.006386666653950261)	(30, 0.0074501869389195785)	(32, 0.009183536475318999)	(34, 0.011814057972657083)	(36, 0.015285193000763406)	(38, 0.02032887418537285)	(40, 0.02899451287854308)	(42, 0.04373741034296655)	(44, 0.06361714405345663)	(46, 0.08901409717763009)	(48, 0.12286376314021454)	(50, 0.17023422088001058)	(52, 0.2322865816987522)	(54, 0.3093845939316531)	(56, 0.3992947540813949)	(58, 0.5017076542652807)	(60, 0.6219109532098317)	(62, 0.7613773880771325)	(64, 0.9166901642915933)	(66, 1.0829819298920773)	(68, 1.2559941677834)	(70, 1.4375544915522442)	(72, 1.6336325880536573)	(74, 1.8446742707960413)	(76, 2.0636574225276485)	(78, 2.282154837153086)	(80, 2.5036165789127507)	(82, 2.733906980723135)	(84, 2.9737801549865113)	(86, 3.220728677965326)	(88, 3.466402972782065)	(90, 3.649254159545387)
ERR579140_2 - polya	(1, 0.01795231112938823)	(2, 0.022776412526277212)	(3, 0.026728848705245563)	(4, 0.03356687381173233)	(5, 0.03885231456059966)	(6, 0.043869380013364205)	(7, 0.0489951263711621)	(8, 0.05801564148893106)	(9, 0.06938055898670538)	(10, 0.08301335863543094)	(12, 0.09616929308860198)	(14, 0.11450198738560696)	(16, 0.13978804162709332)	(18, 0.15901901687386386)	(20, 0.17691587856190855)	(22, 0.1954792425349027)	(24, 0.21279166711118636)	(26, 0.23146038502273328)	(28, 0.24885709274985912)	(30, 0.2655030150411933)	(32, 0.2810454934497908)	(34, 0.29698166289192746)	(36, 0.31252968624465927)	(38, 0.3275243241727825)	(40, 0.3451605734865125)	(42, 0.3604757091856014)	(44, 0.375888435901455)	(46, 0.3926519110084375)	(48, 0.40945530971318733)	(50, 0.426784369121874)	(52, 0.4431630251059323)	(54, 0.46228199248118884)	(56, 0.47785995853224617)	(58, 0.49206388742681034)	(60, 0.5059395556286207)	(62, 0.5196987800036095)	(64, 0.5352079887474009)	(66, 0.5521999155527189)	(68, 0.5677301950842207)	(70, 0.5865231197443772)	(72, 0.607067137762163)	(74, 0.6228713375339021)	(76, 0.6380179069313066)	(78, 0.6520277627811684)	(80, 0.6648044230555494)	(82, 0.6778938181791082)	(84, 0.6940196247106398)	(86, 0.7114529290690524)	(88, 0.7251899736675038)	(90, 0.7358784079808869)
ERR579140_2 - polyg	(1, 0.004360544067256889)	(2, 0.005547162112008892)	(3, 0.00995871966530185)	(4, 0.015756513252183593)	(5, 0.020021684280329573)	(6, 0.02402069799002651)	(7, 0.02715470041476404)	(8, 0.030004801699822586)	(9, 0.03291700635918591)	(10, 0.03877468534271869)	(12, 0.048450612857168424)	(14, 0.0555181986508175)	(16, 0.06184830687459734)	(18, 0.06797990609836727)	(20, 0.07411372329979093)	(22, 0.07980616294811993)	(24, 0.08537883180314686)	(26, 0.09086832649615845)	(28, 0.09687017402718447)	(30, 0.10309492831241156)	(32, 0.10916331517304984)	(34, 0.11513965596105781)	(36, 0.12071676077139223)	(38, 0.1261796397325589)	(40, 0.13139521418533337)	(42, 0.13643778638111595)	(44, 0.14137611362717264)	(46, 0.14642866672239707)	(48, 0.1517052355606494)	(50, 0.15673339090168265)	(52, 0.16167282713656622)	(54, 0.1664936015669746)	(56, 0.1712933052096724)	(58, 0.1759721290702413)	(60, 0.18033045515984442)	(62, 0.18490503407068742)	(64, 0.1898522332273591)	(66, 0.19468298855720928)	(68, 0.19964904052393778)	(70, 0.2045175014739016)	(72, 0.20961441412220086)	(74, 0.21484773239620525)	(76, 0.220189731575243)	(78, 0.22577349031853863)	(80, 0.23144153221267647)	(82, 0.23729477524090176)	(84, 0.24299941376632633)	(86, 0.24869961633644344)	(88, 0.2544430694708085)	(90, 0.2588801337671195)
ERR579141_1 - illumina_universal_adapter	(1, 0.015608047799827876)	(2, 0.015904479715406)	(3, 0.01759837637585244)	(4, 0.02242598185812478)	(5, 0.023272930188348)	(6, 0.025341903966464716)	(7, 0.025783527024366825)	(8, 0.027090247305282648)	(9, 0.028705498763636927)	(10, 0.035096933841357134)	(12, 0.040435733137228494)	(14, 0.04800684624633105)	(16, 0.05624341875775185)	(18, 0.06512125214777022)	(20, 0.07387809291918528)	(22, 0.08205114430583933)	(24, 0.08911711323227303)	(26, 0.09595319618336044)	(28, 0.10167009741236717)	(30, 0.10736280011765323)	(32, 0.1131401976559616)	(34, 0.1197978164946091)	(36, 0.12744454999033872)	(38, 0.1344681715002613)	(40, 0.14743253058360667)	(42, 0.16693956551792644)	(44, 0.1943685921552984)	(46, 0.23456838968625043)	(48, 0.30051239164052324)	(50, 0.4175243530917909)	(52, 0.6139679686561362)	(54, 0.9007658469779734)	(56, 1.292016652940054)	(58, 1.821235341895497)	(60, 2.5542056005789258)	(62, 3.5326003116527867)	(64, 4.678606097277823)	(66, 5.939969270294727)	(68, 7.301919656787498)	(70, 8.793782842690117)	(72, 10.44819961168629)	(74, 12.225278697422507)	(76, 13.96105090316755)	(78, 15.672325128460889)	(80, 17.44396257117542)	(82, 19.262390884319323)	(84, 21.093971095105402)	(86, 22.891246873701974)	(88, 24.586813232285138)	(90, 25.824458827240328)
ERR579141_1 - polya	(1, 0.006140375394118331)	(2, 0.007689080912240787)	(3, 0.008306143267117703)	(4, 0.009860898416170326)	(5, 0.010629201544301387)	(6, 0.011500348398245269)	(7, 0.012873614619392914)	(8, 0.016727229521908558)	(9, 0.0213068001360441)	(10, 0.027117470644468393)	(12, 0.030813795142799725)	(14, 0.0378495159145826)	(16, 0.04663962965611357)	(18, 0.05145513587652558)	(20, 0.0715731835347921)	(22, 0.09258960138618824)	(24, 0.09758357171904014)	(26, 0.1027983535808431)	(28, 0.10771065389613776)	(30, 0.11242331639073695)	(32, 0.11680324918417702)	(34, 0.12165202837470494)	(36, 0.1266369242611616)	(38, 0.131830532414709)	(40, 0.1388420546627712)	(42, 0.14442888882677934)	(44, 0.1507053809168264)	(46, 0.15715126267291812)	(48, 0.16211800966658427)	(50, 0.16752637971815254)	(52, 0.17429289191354302)	(54, 0.1841295918059927)	(56, 0.19230869282357693)	(58, 0.19939886027373127)	(60, 0.2078622939450333)	(62, 0.21952598237839305)	(64, 0.716720950005003)	(66, 0.737546804482099)	(68, 0.7472564621250152)	(70, 0.7548910963588844)	(72, 0.7620810827193865)	(74, 0.7702178363204596)	(76, 0.7777345027511906)	(78, 0.7854175340325013)	(80, 0.7927890093209083)	(82, 0.8002663531505934)	(84, 0.8089778216900321)	(86, 0.8173021138499403)	(88, 0.8232428514233632)	(90, 0.8282852188036565)
ERR579141_2 - illumina_universal_adapter	(1, 0.01413193785286741)	(2, 0.014283178626121556)	(3, 0.0156927426328502)	(4, 0.019570556059086502)	(5, 0.020254164354195244)	(6, 0.021942011383711515)	(7, 0.022250542561149972)	(8, 0.023369724283230652)	(9, 0.024718791980657635)	(10, 0.03042359394780403)	(12, 0.03536614241774952)	(14, 0.0427376177061566)	(16, 0.05073522979583585)	(18, 0.059286383115625264)	(20, 0.06774376715599711)	(22, 0.07577465221579227)	(24, 0.08278012483292432)	(26, 0.08949219034994332)	(28, 0.09522119084081038)	(30, 0.10098346430179334)	(32, 0.1067820355483573)	(34, 0.11330656250654117)	(36, 0.12087162598471354)	(38, 0.12788314823277575)	(40, 0.14062669578717013)	(42, 0.15978285212754023)	(44, 0.18669161050491792)	(46, 0.22652540536459492)	(48, 0.2916587567742255)	(50, 0.40632648624005396)	(52, 0.5991917451092061)	(54, 0.8805721789330798)	(56, 1.2643184177262898)	(58, 1.7835219426768432)	(60, 2.503234435176813)	(62, 3.4642576310347035)	(64, 4.591675925626806)	(66, 5.831221104694066)	(68, 7.168543443670131)	(70, 8.63365818641502)	(72, 10.256964728352816)	(74, 11.995286853534926)	(76, 13.684997169377688)	(78, 15.350521060761647)	(80, 17.074390617651588)	(82, 18.84359308391673)	(84, 20.629226347788197)	(86, 22.39576697644407)	(88, 24.075809982060424)	(90, 25.310355141163903)
ERR579141_2 - polya	(1, 0.014125888221937244)	(2, 0.017084157746788342)	(3, 0.018064197957475207)	(4, 0.020538497007913038)	(5, 0.021905713598130518)	(6, 0.02313983830788435)	(7, 0.024906330539492778)	(8, 0.029727886390834953)	(9, 0.035081809764031725)	(10, 0.041545840412913926)	(12, 0.045965095807400075)	(14, 0.05359368041033921)	(16, 0.06304017910779317)	(18, 0.06902628891319228)	(20, 0.07549334437753956)	(22, 0.0823929484533937)	(24, 0.08850610050832629)	(26, 0.09488846113965124)	(28, 0.10097741467086317)	(30, 0.106552149573011)	(32, 0.11190607294620777)	(34, 0.11732654225963637)	(36, 0.12277121009678563)	(38, 0.12827939905870162)	(40, 0.13605014998849965)	(42, 0.14205440868668925)	(44, 0.1481554614797615)	(46, 0.15507321444840616)	(48, 0.16026984741741862)	(50, 0.1655693241122439)	(52, 0.17167642653624632)	(54, 0.18059963215824093)	(56, 0.19039398463417942)	(58, 0.788073322010844)	(60, 0.9200913929843882)	(62, 0.9307568923142706)	(64, 0.9372451214868734)	(66, 0.9432887027861092)	(68, 0.9516160197614825)	(70, 0.9596590040831379)	(72, 0.9678411299161872)	(74, 0.9757479975419139)	(76, 0.9840208678389157)	(78, 0.9918188421078995)	(80, 0.9985793046723599)	(82, 1.0049193178871736)	(84, 1.0125509273055777)	(86, 1.0198982040702642)	(88, 1.0255334352817138)	(90, 1.0306574726795643)
ERR579142_1 - illumina_universal_adapter	(1, 9.582586840346595)	(2, 9.59524501415948)	(3, 9.595996460932653)	(4, 9.597502882398121)	(5, 9.598219049980065)	(6, 9.598868187098676)	(7, 9.599316232827281)	(8, 9.60071328879994)	(9, 9.60146120765399)	(10, 9.604131842430007)	(12, 9.607000040676908)	(14, 9.61141699541875)	(16, 9.615250079545756)	(18, 9.618550447885209)	(20, 9.62190020709238)	(22, 9.625290537369466)	(24, 9.628278684866544)	(26, 9.63111865976046)	(28, 9.634157962084817)	(30, 9.636899155243295)	(32, 9.640797505874072)	(34, 9.644554739739938)	(36, 9.649211592982137)	(38, 9.656348573367717)	(40, 9.670121569623431)	(42, 9.69421372931356)	(44, 9.726166092809462)	(46, 9.77193202363099)	(48, 9.844533071260685)	(50, 9.965852918017756)	(52, 10.162710805074319)	(54, 10.430314054301942)	(56, 10.781876486775367)	(58, 11.247812293252913)	(60, 11.862398735932466)	(62, 12.617858517107639)	(64, 13.46168032459396)	(66, 14.368380234607327)	(68, 15.342368146051335)	(70, 16.36203202637924)	(72, 17.46227005155454)	(74, 18.719253523359285)	(76, 20.00947881309935)	(78, 21.16644577777052)	(80, 22.29467784118585)	(82, 23.446084805319366)	(84, 24.616637786532742)	(86, 25.757942554257895)	(88, 26.861609716820638)	(90, 27.656952623679935)
ERR579142_1 - polya	(1, 0.004110025778152239)	(2, 0.005507081750811713)	(3, 0.006071548810472106)	(4, 0.006992335701543123)	(5, 0.007697919526118614)	(6, 0.008477589652274532)	(7, 0.009387792785976916)	(8, 0.01203373212813501)	(9, 0.01565690506733016)	(10, 0.018544506869405362)	(12, 0.020604811637165793)	(14, 0.024462591198032298)	(16, 0.030590586714470444)	(18, 0.03409204644392632)	(20, 0.038175612828656974)	(22, 0.045344344486343974)	(24, 0.049576083474235484)	(26, 0.054770944382672535)	(28, 0.05892683310942219)	(30, 0.06280578018502596)	(32, 0.06622609777465564)	(34, 0.06979987984613051)	(36, 0.0732149055570759)	(38, 0.07666344649968862)	(40, 0.08129736826758815)	(42, 0.08535094733977434)	(44, 0.08961090968064889)	(46, 0.09399434919082413)	(48, 0.09752226831370159)	(50, 0.10100432448798163)	(52, 0.10523077159718883)	(54, 0.11171332298547616)	(56, 0.11783779058279142)	(58, 0.12912889573556072)	(60, 0.15515435510502773)	(62, 0.2721048740284155)	(64, 17.59226857935389)	(66, 19.884466998980187)	(68, 19.895685781790934)	(70, 19.902360604771417)	(72, 19.915768461397917)	(74, 19.93743164877194)	(76, 19.961925991242083)	(78, 19.971807692705262)	(80, 19.97837667811206)	(82, 19.98333164052014)	(84, 19.989034521782273)	(86, 19.994030055260268)	(88, 19.997990144475697)	(90, 20.001202314837077)
ERR579142_2 - illumina_universal_adapter	(1, 9.376588114842658)	(2, 9.388526593154475)	(3, 9.389154562758348)	(4, 9.39034699942188)	(5, 9.390907938562417)	(6, 9.39140184723962)	(7, 9.391772278747522)	(8, 9.392795375293156)	(9, 9.393430400735275)	(10, 9.396004017735414)	(12, 9.399251467288023)	(14, 9.404284043916807)	(16, 9.408533422500312)	(18, 9.41212131624828)	(20, 9.415698626238878)	(22, 9.419055441284296)	(24, 9.421847789270053)	(26, 9.424465505259228)	(28, 9.42746070859455)	(30, 9.430198373833903)	(32, 9.433713945239852)	(34, 9.437520569973437)	(36, 9.442098045035369)	(38, 9.448716421309888)	(40, 9.461792653538833)	(42, 9.485172173566141)	(44, 9.516291948149043)	(46, 9.56033978235773)	(48, 9.629829205321048)	(50, 9.74695788416014)	(52, 9.938315745304138)	(54, 10.197339095224923)	(56, 10.53625217368327)	(58, 10.984142673847298)	(60, 11.566101156518918)	(62, 12.295394361559708)	(64, 13.110174338826504)	(66, 14.003027166282575)	(68, 14.970980572066903)	(70, 15.986897802286311)	(72, 17.07532611819778)	(74, 18.263280560484745)	(76, 19.450282464608534)	(78, 20.57391941336632)	(80, 21.670998186967083)	(82, 22.794322914882493)	(84, 23.93712528427531)	(86, 25.051374440247123)	(88, 26.13372062359075)	(90, 26.914399734615813)
ERR579142_2 - polya	(1, 0.010400305574242747)	(2, 0.013222640872544714)	(3, 0.014400965859585784)	(4, 0.01611200663418135)	(5, 0.017269164106485158)	(6, 0.018426321578788964)	(7, 0.019858656742677214)	(8, 0.023390103784677548)	(9, 0.027937591534066594)	(10, 0.032379241709769316)	(12, 0.03582072681413627)	(14, 0.04157652686311085)	(16, 0.050099979463982786)	(18, 0.05530542412978848)	(20, 0.06116000591420362)	(22, 0.06776956239091453)	(24, 0.07432796404034372)	(26, 0.0812814926315352)	(28, 0.08679739418015411)	(30, 0.0917611763860427)	(32, 0.09650446364675144)	(34, 0.10132712908772493)	(36, 0.1059628148151859)	(38, 0.11059673658308544)	(40, 0.11619378027153053)	(42, 0.12075361573784965)	(44, 0.12648824827208696)	(46, 0.13432728456312065)	(48, 0.13923991194172752)	(50, 0.14444712056709466)	(52, 0.15590932979732353)	(54, 0.18307959892216427)	(56, 0.2927096856655813)	(58, 19.029553413771534)	(60, 27.476737695085546)	(62, 27.683618400370207)	(64, 27.72377846770548)	(66, 27.841406347100463)	(68, 27.857497186219906)	(70, 27.885706427526433)	(72, 27.905635642651568)	(74, 27.916902052370478)	(76, 27.927727472199027)	(78, 27.93636381821183)	(80, 27.943405544781093)	(82, 27.949715228132362)	(84, 27.95629656125609)	(86, 27.96289377001587)	(88, 27.968577247722827)	(90, 27.973421080678538)
