Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
ERR579147_2	(2.0, 564607.0)	(3.0, 74805.0)	(4.0, 53692.0)	(5.0, 48213.0)	(6.0, 46620.0)	(7.0, 47694.0)	(8.0, 48881.0)	(9.0, 51548.0)	(10.0, 56588.0)	(11.0, 58390.0)	(12.0, 58930.0)	(13.0, 60901.0)	(14.0, 63691.0)	(15.0, 66627.0)	(16.0, 70653.0)	(17.0, 73831.0)	(18.0, 75886.0)	(19.0, 79022.0)	(20.0, 85145.0)	(21.0, 93715.0)	(22.0, 106942.0)	(23.0, 126922.0)	(24.0, 153125.0)	(25.0, 186826.0)	(26.0, 229669.0)	(27.0, 281153.0)	(28.0, 348167.0)	(29.0, 435848.0)	(30.0, 555577.0)	(31.0, 730066.0)	(32.0, 984826.0)	(33.0, 1371732.0)	(34.0, 1948927.0)	(35.0, 2927681.0)	(36.0, 5265505.0)	(37.0, 11677168.0)	(38.0, 9303901.0)	(39.0, 19899.0)	
ERR579148_1	(2.0, 48.0)	(3.0, 67.0)	(4.0, 141.0)	(5.0, 285.0)	(6.0, 718.0)	(7.0, 1784.0)	(8.0, 5069.0)	(9.0, 10817.0)	(10.0, 17906.0)	(11.0, 22556.0)	(12.0, 26412.0)	(13.0, 30523.0)	(14.0, 33872.0)	(15.0, 37280.0)	(16.0, 42105.0)	(17.0, 47805.0)	(18.0, 53967.0)	(19.0, 59414.0)	(20.0, 66703.0)	(21.0, 73346.0)	(22.0, 84004.0)	(23.0, 100934.0)	(24.0, 124682.0)	(25.0, 158797.0)	(26.0, 205276.0)	(27.0, 266663.0)	(28.0, 330038.0)	(29.0, 427484.0)	(30.0, 559552.0)	(31.0, 743622.0)	(32.0, 1007208.0)	(33.0, 1414877.0)	(34.0, 2081983.0)	(35.0, 3473096.0)	(36.0, 7404702.0)	(37.0, 18068419.0)	(38.0, 14629192.0)	(39.0, 23567.0)	
ERR579148_2	(2.0, 1058596.0)	(3.0, 116197.0)	(4.0, 77382.0)	(5.0, 68118.0)	(6.0, 64783.0)	(7.0, 60989.0)	(8.0, 57743.0)	(9.0, 59815.0)	(10.0, 63136.0)	(11.0, 64242.0)	(12.0, 63797.0)	(13.0, 64830.0)	(14.0, 66345.0)	(15.0, 68834.0)	(16.0, 70391.0)	(17.0, 72683.0)	(18.0, 75031.0)	(19.0, 77496.0)	(20.0, 82914.0)	(21.0, 91543.0)	(22.0, 104941.0)	(23.0, 124483.0)	(24.0, 149398.0)	(25.0, 179563.0)	(26.0, 217846.0)	(27.0, 266257.0)	(28.0, 326910.0)	(29.0, 408814.0)	(30.0, 522321.0)	(31.0, 689780.0)	(32.0, 942414.0)	(33.0, 1328953.0)	(34.0, 1929860.0)	(35.0, 3037864.0)	(36.0, 6286342.0)	(37.0, 17574364.0)	(38.0, 15089866.0)	(39.0, 30073.0)	
ERR579149_1	(4.0, 14526.0)	(5.0, 1208.0)	(6.0, 2002.0)	(7.0, 3137.0)	(8.0, 5295.0)	(9.0, 9584.0)	(10.0, 16556.0)	(11.0, 22558.0)	(12.0, 29799.0)	(13.0, 37386.0)	(14.0, 45727.0)	(15.0, 54671.0)	(16.0, 63595.0)	(17.0, 72970.0)	(18.0, 84396.0)	(19.0, 98049.0)	(20.0, 114009.0)	(21.0, 129993.0)	(22.0, 149212.0)	(23.0, 174762.0)	(24.0, 208163.0)	(25.0, 252833.0)	(26.0, 308737.0)	(27.0, 383697.0)	(28.0, 433022.0)	(29.0, 459641.0)	(30.0, 562472.0)	(31.0, 694354.0)	(32.0, 871412.0)	(33.0, 1128850.0)	(34.0, 1533458.0)	(35.0, 2183631.0)	(36.0, 3138238.0)	(37.0, 3722019.0)	(38.0, 1931497.0)	(39.0, 122267.0)	(40.0, 4.0)		
ERR579149_2	(4.0, 312242.0)	(5.0, 67755.0)	(6.0, 28159.0)	(7.0, 28812.0)	(8.0, 48901.0)	(9.0, 45886.0)	(10.0, 44636.0)	(11.0, 49407.0)	(12.0, 54305.0)	(13.0, 56776.0)	(14.0, 64010.0)	(15.0, 72653.0)	(16.0, 79044.0)	(17.0, 84202.0)	(18.0, 92704.0)	(19.0, 101638.0)	(20.0, 113594.0)	(21.0, 128972.0)	(22.0, 148403.0)	(23.0, 173831.0)	(24.0, 210113.0)	(25.0, 269731.0)	(26.0, 277135.0)	(27.0, 305758.0)	(28.0, 366671.0)	(29.0, 444286.0)	(30.0, 540103.0)	(31.0, 665731.0)	(32.0, 840913.0)	(33.0, 1086842.0)	(34.0, 1472543.0)	(35.0, 2082986.0)	(36.0, 2978797.0)	(37.0, 3596466.0)	(38.0, 1982180.0)	(39.0, 147535.0)	(40.0, 10.0)		
ERR579150_1	(2.0, 36.0)	(3.0, 57.0)	(4.0, 104.0)	(5.0, 274.0)	(6.0, 574.0)	(7.0, 1644.0)	(8.0, 4208.0)	(9.0, 8904.0)	(10.0, 15287.0)	(11.0, 19618.0)	(12.0, 22592.0)	(13.0, 25581.0)	(14.0, 28106.0)	(15.0, 31846.0)	(16.0, 35990.0)	(17.0, 41004.0)	(18.0, 45487.0)	(19.0, 49239.0)	(20.0, 55112.0)	(21.0, 60929.0)	(22.0, 70742.0)	(23.0, 85384.0)	(24.0, 105856.0)	(25.0, 133669.0)	(26.0, 171726.0)	(27.0, 221103.0)	(28.0, 288264.0)	(29.0, 377261.0)	(30.0, 498195.0)	(31.0, 667622.0)	(32.0, 912991.0)	(33.0, 1280173.0)	(34.0, 1863032.0)	(35.0, 2953890.0)	(36.0, 5665986.0)	(37.0, 12442369.0)	(38.0, 10637130.0)	(39.0, 17377.0)	
ERR579150_2	(2.0, 654775.0)	(3.0, 85824.0)	(4.0, 60933.0)	(5.0, 54423.0)	(6.0, 52262.0)	(7.0, 52339.0)	(8.0, 52795.0)	(9.0, 55759.0)	(10.0, 59781.0)	(11.0, 60675.0)	(12.0, 60774.0)	(13.0, 61646.0)	(14.0, 63820.0)	(15.0, 66824.0)	(16.0, 69381.0)	(17.0, 71665.0)	(18.0, 74206.0)	(19.0, 77879.0)	(20.0, 83352.0)	(21.0, 91276.0)	(22.0, 104384.0)	(23.0, 124513.0)	(24.0, 149302.0)	(25.0, 180490.0)	(26.0, 218570.0)	(27.0, 265561.0)	(28.0, 327267.0)	(29.0, 407694.0)	(30.0, 518039.0)	(31.0, 675768.0)	(32.0, 918098.0)	(33.0, 1275390.0)	(34.0, 1814690.0)	(35.0, 2774653.0)	(36.0, 5224717.0)	(37.0, 12091715.0)	(38.0, 9834683.0)	(39.0, 23439.0)	
ERR579151_1	(2.0, 33.0)	(3.0, 60.0)	(4.0, 100.0)	(5.0, 339.0)	(6.0, 682.0)	(7.0, 1651.0)	(8.0, 4398.0)	(9.0, 9739.0)	(10.0, 15901.0)	(11.0, 20558.0)	(12.0, 24394.0)	(13.0, 27587.0)	(14.0, 30769.0)	(15.0, 34518.0)	(16.0, 39094.0)	(17.0, 43705.0)	(18.0, 48004.0)	(19.0, 53088.0)	(20.0, 57844.0)	(21.0, 63552.0)	(22.0, 74457.0)	(23.0, 89435.0)	(24.0, 112279.0)	(25.0, 144902.0)	(26.0, 188784.0)	(27.0, 246990.0)	(28.0, 326109.0)	(29.0, 433728.0)	(30.0, 585541.0)	(31.0, 807282.0)	(32.0, 1134505.0)	(33.0, 1633137.0)	(34.0, 2428572.0)	(35.0, 3895084.0)	(36.0, 7437572.0)	(37.0, 15618861.0)	(38.0, 11224890.0)	(39.0, 16239.0)	
ERR579151_2	(2.0, 589476.0)	(3.0, 77136.0)	(4.0, 55781.0)	(5.0, 49828.0)	(6.0, 49168.0)	(7.0, 50377.0)	(8.0, 51613.0)	(9.0, 55198.0)	(10.0, 60753.0)	(11.0, 63065.0)	(12.0, 64288.0)	(13.0, 66747.0)	(14.0, 69273.0)	(15.0, 73136.0)	(16.0, 74470.0)	(17.0, 76852.0)	(18.0, 78643.0)	(19.0, 82265.0)	(20.0, 89129.0)	(21.0, 98372.0)	(22.0, 114231.0)	(23.0, 135986.0)	(24.0, 166115.0)	(25.0, 204674.0)	(26.0, 252225.0)	(27.0, 314409.0)	(28.0, 394449.0)	(29.0, 500260.0)	(30.0, 647271.0)	(31.0, 860442.0)	(32.0, 1181972.0)	(33.0, 1672227.0)	(34.0, 2429995.0)	(35.0, 3749333.0)	(36.0, 6857036.0)	(37.0, 14608152.0)	(38.0, 10887699.0)	(39.0, 22337.0)	
ERR579152_1	(4.0, 9234.0)	(5.0, 1017.0)	(6.0, 1476.0)	(7.0, 2500.0)	(8.0, 4517.0)	(9.0, 9019.0)	(10.0, 15654.0)	(11.0, 21193.0)	(12.0, 26750.0)	(13.0, 33058.0)	(14.0, 40979.0)	(15.0, 49317.0)	(16.0, 58325.0)	(17.0, 67948.0)	(18.0, 78139.0)	(19.0, 88685.0)	(20.0, 99947.0)	(21.0, 112538.0)	(22.0, 127217.0)	(23.0, 148095.0)	(24.0, 178242.0)	(25.0, 216136.0)	(26.0, 263952.0)	(27.0, 323790.0)	(28.0, 377219.0)	(29.0, 443320.0)	(30.0, 537522.0)	(31.0, 652741.0)	(32.0, 798787.0)	(33.0, 1000405.0)	(34.0, 1295779.0)	(35.0, 1737172.0)	(36.0, 2311530.0)	(37.0, 2493277.0)	(38.0, 1266114.0)	(39.0, 86064.0)	(40.0, 3.0)		
ERR579152_2	(4.0, 171997.0)	(5.0, 35073.0)	(6.0, 20134.0)	(7.0, 21524.0)	(8.0, 31239.0)	(9.0, 32827.0)	(10.0, 36264.0)	(11.0, 41602.0)	(12.0, 46246.0)	(13.0, 49828.0)	(14.0, 54084.0)	(15.0, 58328.0)	(16.0, 62577.0)	(17.0, 68464.0)	(18.0, 75718.0)	(19.0, 85372.0)	(20.0, 96263.0)	(21.0, 110448.0)	(22.0, 127576.0)	(23.0, 150526.0)	(24.0, 178799.0)	(25.0, 214372.0)	(26.0, 241416.0)	(27.0, 284291.0)	(28.0, 340773.0)	(29.0, 408933.0)	(30.0, 493885.0)	(31.0, 600480.0)	(32.0, 740825.0)	(33.0, 931144.0)	(34.0, 1210120.0)	(35.0, 1619876.0)	(36.0, 2178938.0)	(37.0, 2544090.0)	(38.0, 1484062.0)	(39.0, 129558.0)	(40.0, 9.0)		
ERR579153_1	(2.0, 11.0)	(3.0, 30.0)	(4.0, 81.0)	(5.0, 197.0)	(6.0, 404.0)	(7.0, 1120.0)	(8.0, 2875.0)	(9.0, 6439.0)	(10.0, 11562.0)	(11.0, 14622.0)	(12.0, 17094.0)	(13.0, 18922.0)	(14.0, 20923.0)	(15.0, 23755.0)	(16.0, 27187.0)	(17.0, 31644.0)	(18.0, 34408.0)	(19.0, 37329.0)	(20.0, 40436.0)	(21.0, 45504.0)	(22.0, 52952.0)	(23.0, 63778.0)	(24.0, 78278.0)	(25.0, 99544.0)	(26.0, 128133.0)	(27.0, 165019.0)	(28.0, 213865.0)	(29.0, 282043.0)	(30.0, 375146.0)	(31.0, 506842.0)	(32.0, 702536.0)	(33.0, 1000167.0)	(34.0, 1487192.0)	(35.0, 2451782.0)	(36.0, 5034926.0)	(37.0, 12412456.0)	(38.0, 11402032.0)	(39.0, 18014.0)	
ERR579153_2	(2.0, 599799.0)	(3.0, 75646.0)	(4.0, 51756.0)	(5.0, 45612.0)	(6.0, 43322.0)	(7.0, 43939.0)	(8.0, 42685.0)	(9.0, 44136.0)	(10.0, 48030.0)	(11.0, 49372.0)	(12.0, 48846.0)	(13.0, 49603.0)	(14.0, 51187.0)	(15.0, 53064.0)	(16.0, 55203.0)	(17.0, 57045.0)	(18.0, 59584.0)	(19.0, 61307.0)	(20.0, 65470.0)	(21.0, 72228.0)	(22.0, 82691.0)	(23.0, 98500.0)	(24.0, 117520.0)	(25.0, 142600.0)	(26.0, 173462.0)	(27.0, 212883.0)	(28.0, 258654.0)	(29.0, 324241.0)	(30.0, 412823.0)	(31.0, 542197.0)	(32.0, 735976.0)	(33.0, 1041100.0)	(34.0, 1508039.0)	(35.0, 2347989.0)	(36.0, 4649206.0)	(37.0, 12095459.0)	(38.0, 10423996.0)	(39.0, 24078.0)	
ERR579154_1	(2.0, 35.0)	(3.0, 56.0)	(4.0, 153.0)	(5.0, 350.0)	(6.0, 748.0)	(7.0, 2071.0)	(8.0, 5266.0)	(9.0, 11515.0)	(10.0, 19383.0)	(11.0, 24711.0)	(12.0, 28911.0)	(13.0, 31552.0)	(14.0, 34931.0)	(15.0, 38717.0)	(16.0, 44058.0)	(17.0, 49365.0)	(18.0, 55016.0)	(19.0, 60834.0)	(20.0, 67211.0)	(21.0, 74377.0)	(22.0, 85571.0)	(23.0, 102524.0)	(24.0, 127439.0)	(25.0, 161648.0)	(26.0, 208731.0)	(27.0, 269762.0)	(28.0, 352424.0)	(29.0, 465089.0)	(30.0, 619508.0)	(31.0, 838510.0)	(32.0, 1157300.0)	(33.0, 1637462.0)	(34.0, 2396715.0)	(35.0, 3780232.0)	(36.0, 7082127.0)	(37.0, 14680786.0)	(38.0, 11976259.0)	(39.0, 23764.0)	
ERR579154_2	(2.0, 839709.0)	(3.0, 101886.0)	(4.0, 69602.0)	(5.0, 62087.0)	(6.0, 59692.0)	(7.0, 59639.0)	(8.0, 59646.0)	(9.0, 62997.0)	(10.0, 69072.0)	(11.0, 72096.0)	(12.0, 72126.0)	(13.0, 74929.0)	(14.0, 76955.0)	(15.0, 78728.0)	(16.0, 81457.0)	(17.0, 83779.0)	(18.0, 86250.0)	(19.0, 89535.0)	(20.0, 96212.0)	(21.0, 106564.0)	(22.0, 122026.0)	(23.0, 145476.0)	(24.0, 176122.0)	(25.0, 213865.0)	(26.0, 261964.0)	(27.0, 321941.0)	(28.0, 397162.0)	(29.0, 498202.0)	(30.0, 638838.0)	(31.0, 840848.0)	(32.0, 1147617.0)	(33.0, 1606355.0)	(34.0, 2298903.0)	(35.0, 3518266.0)	(36.0, 6522072.0)	(37.0, 14256744.0)	(38.0, 11213485.0)	(39.0, 32264.0)	
ERR579155_1	(2.0, 31.0)	(3.0, 32.0)	(4.0, 64.0)	(5.0, 122.0)	(6.0, 245.0)	(7.0, 725.0)	(8.0, 1763.0)	(9.0, 3184.0)	(10.0, 5379.0)	(11.0, 6890.0)	(12.0, 8688.0)	(13.0, 10561.0)	(14.0, 12203.0)	(15.0, 13628.0)	(16.0, 15725.0)	(17.0, 17720.0)	(18.0, 20850.0)	(19.0, 25230.0)	(20.0, 29874.0)	(21.0, 36057.0)	(22.0, 44214.0)	(23.0, 55967.0)	(24.0, 72808.0)	(25.0, 99006.0)	(26.0, 143330.0)	(27.0, 277383.0)	(28.0, 278313.0)	(29.0, 159892.0)	(30.0, 203188.0)	(31.0, 258055.0)	(32.0, 335306.0)	(33.0, 445755.0)	(34.0, 595145.0)	(35.0, 823142.0)	(36.0, 1584930.0)	(37.0, 5363833.0)	(38.0, 6073522.0)	(39.0, 19485.0)	
ERR579155_2	(2.0, 764956.0)	(3.0, 71420.0)	(4.0, 32573.0)	(5.0, 27536.0)	(6.0, 27949.0)	(7.0, 28301.0)	(8.0, 28536.0)	(9.0, 29443.0)	(10.0, 31821.0)	(11.0, 33192.0)	(12.0, 33838.0)	(13.0, 35402.0)	(14.0, 36886.0)	(15.0, 37044.0)	(16.0, 36933.0)	(17.0, 36903.0)	(18.0, 37491.0)	(19.0, 38555.0)	(20.0, 40571.0)	(21.0, 44222.0)	(22.0, 50331.0)	(23.0, 59371.0)	(24.0, 72522.0)	(25.0, 90148.0)	(26.0, 98562.0)	(27.0, 117062.0)	(28.0, 140133.0)	(29.0, 168727.0)	(30.0, 210346.0)	(31.0, 266796.0)	(32.0, 349708.0)	(33.0, 469727.0)	(34.0, 634954.0)	(35.0, 905871.0)	(36.0, 1729733.0)	(37.0, 4852410.0)	(38.0, 5354019.0)	(39.0, 18253.0)	
