Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR579133_1	(1.0, 23.667116795427383)	(2.0, 12.425429003130885)	(3.0, 7.365911047765087)	(4.0, 4.979799931832566)	(5.0, 3.6085333295575768)	(6.0, 2.709351920446563)	(7.0, 2.211986196731002)	(8.0, 1.8987646725663558)	(9.0, 1.5490870137959654)	('>10', 16.499830761530394)	('>50', 4.791463885891459)	('>100', 9.685658485242596)	('>500', 3.173198425180157)	('>1k', 4.2537336694071275)	('>5k', 0.6898377378946637)	('>10k+', 0.49029712360029704)
ERR579133_2	(1.0, 25.51298641286052)	(2.0, 12.312546022987535)	(3.0, 7.5432258817317726)	(4.0, 4.985312601405348)	(5.0, 3.565488266422925)	(6.0, 2.7807548194856357)	(7.0, 2.2224305250861667)	(8.0, 1.8044767668601513)	(9.0, 1.4962844515872475)	('>10', 14.712150956095215)	('>50', 4.573669647537613)	('>100', 9.885368823515195)	('>500', 3.2709936940633684)	('>1k', 4.490116849037374)	('>5k', 0.5374374028193744)	('>10k+', 0.30675687850447275)
ERR579134_1	(1.0, 26.39946950064654)	(2.0, 12.724402814525668)	(3.0, 7.496938526073811)	(4.0, 5.011602561675379)	(5.0, 3.578919653299209)	(6.0, 2.8290629960800757)	(7.0, 2.1680791512872712)	(8.0, 1.8914778083099257)	(9.0, 1.5129501076469045)	('>10', 16.18981690443887)	('>50', 4.689397509718921)	('>100', 9.525059648130402)	('>500', 2.721901323145166)	('>1k', 2.642527790064336)	('>5k', 0.28015875222699976)	('>10k+', 0.3382349527304894)
ERR579134_2	(1.0, 28.31361467172217)	(2.0, 13.218922011007406)	(3.0, 7.748278628211317)	(4.0, 5.0690902230554435)	(5.0, 3.607662384299829)	(6.0, 2.673625498074468)	(7.0, 2.163381303712034)	(8.0, 1.7245411716045367)	(9.0, 1.4316493178540357)	('>10', 14.42882660426022)	('>50', 4.363029113570873)	('>100', 9.12251709255743)	('>500', 2.5691216755243467)	('>1k', 2.9137664061075377)	('>5k', 0.21981378016769715)	('>10k+', 0.4321601182706637)
ERR579135_1	(1.0, 24.260678094431356)	(2.0, 11.822474314612684)	(3.0, 6.962482832321373)	(4.0, 4.725393060189507)	(5.0, 3.690920611330201)	(6.0, 2.8929372735225907)	(7.0, 2.2798147859524516)	(8.0, 1.9162242157279445)	(9.0, 1.6199200999949057)	('>10', 17.716721520921205)	('>50', 4.983744684937133)	('>100', 9.459219818553333)	('>500', 2.725004225699733)	('>1k', 3.669800598689907)	('>5k', 0.5791281152704075)	('>10k+', 0.6955357478451619)
ERR579135_2	(1.0, 26.821141479755056)	(2.0, 12.149020063062936)	(3.0, 7.4559008664747255)	(4.0, 4.887873965630288)	(5.0, 3.6947866489965104)	(6.0, 2.785069668032598)	(7.0, 2.2464338072784535)	(8.0, 1.7383084033216731)	(9.0, 1.4792775268145855)	('>10', 15.879298063696748)	('>50', 4.657857364461604)	('>100', 9.228905385432174)	('>500', 2.751165562562172)	('>1k', 3.4376527987022114)	('>5k', 0.3923797644616772)	('>10k+', 0.3949286313164717)
ERR579136_1	(1.0, 29.595113942797376)	(2.0, 12.604813682706592)	(3.0, 7.376503766941274)	(4.0, 5.064522539091894)	(5.0, 3.8015701981018766)	(6.0, 2.9825447053473364)	(7.0, 2.292303159914768)	(8.0, 1.9081470488834646)	(9.0, 1.6761958351625017)	('>10', 16.3406361765528)	('>50', 4.030465421742142)	('>100', 7.515599126065162)	('>500', 2.16511714387046)	('>1k', 2.3972573752429502)	('>5k', 0.24920987757903265)	('>10k+', 0.0)
ERR579136_2	(1.0, 31.64675761643259)	(2.0, 12.772270595321872)	(3.0, 7.693633452398179)	(4.0, 5.199476907251149)	(5.0, 3.778032840529947)	(6.0, 2.8687256177548477)	(7.0, 2.262456707628224)	(8.0, 1.8934676709217322)	(9.0, 1.5300265583292751)	('>10', 14.40334522193189)	('>50', 3.7404381198638466)	('>100', 7.1310795241547025)	('>500', 2.2412149166643305)	('>1k', 2.5506306334716387)	('>5k', 0.2884436173457609)	('>10k+', 0.0)
ERR579138_1	(1.0, 28.790121967745065)	(2.0, 12.440126266370756)	(3.0, 7.230115736111357)	(4.0, 5.160282862575987)	(5.0, 3.843583811082893)	(6.0, 2.9244916844520414)	(7.0, 2.413083362881801)	(8.0, 1.957241190874968)	(9.0, 1.7110037027038012)	('>10', 17.4213417451928)	('>50', 4.208096265996039)	('>100', 7.036269888705503)	('>500', 2.1051574717693153)	('>1k', 2.3900839467163646)	('>5k', 0.22709590686555717)	('>10k+', 0.14190418995606308)
ERR579138_2	(1.0, 30.87179784077985)	(2.0, 12.75751889807075)	(3.0, 7.734565449934918)	(4.0, 5.264090957557066)	(5.0, 3.8398958387264743)	(6.0, 2.971701457010777)	(7.0, 2.362973563302521)	(8.0, 1.8846455440420458)	(9.0, 1.5923630356616654)	('>10', 15.583994407331843)	('>50', 3.8051644484965985)	('>100', 6.268037428090098)	('>500', 2.1875273392756456)	('>1k', 2.3712384138923146)	('>5k', 0.3126053320735481)	('>10k+', 0.19188004575386913)
