Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR10898051_1	(13.0, 2.0)	(14.0, 2.0)	(15.0, 11.0)	(16.0, 93.0)	(17.0, 368.0)	(18.0, 1385.0)	(19.0, 4082.0)	(20.0, 9686.0)	(21.0, 19182.0)	(22.0, 33391.0)	(23.0, 55138.0)	(24.0, 86121.0)	(25.0, 128131.0)	(26.0, 180672.0)	(27.0, 243388.0)	(28.0, 315000.0)	(29.0, 397267.0)	(30.0, 488027.0)	(31.0, 583407.0)	(32.0, 692155.0)	(33.0, 819135.0)	(34.0, 969342.0)	(35.0, 1161538.0)	(36.0, 1423807.0)	(37.0, 1837785.0)	(38.0, 2590656.0)	(39.0, 4640144.0)	(40.0, 18565184.0)			
SRR10898051_2	(10.0, 3.0)	(11.0, 11.0)	(12.0, 103.0)	(13.0, 821.0)	(14.0, 5155.0)	(15.0, 27303.0)	(16.0, 91163.0)	(17.0, 184861.0)	(18.0, 268028.0)	(19.0, 331606.0)	(20.0, 381730.0)	(21.0, 430219.0)	(22.0, 475395.0)	(23.0, 524492.0)	(24.0, 576595.0)	(25.0, 626795.0)	(26.0, 681468.0)	(27.0, 744537.0)	(28.0, 811640.0)	(29.0, 887311.0)	(30.0, 974719.0)	(31.0, 1076547.0)	(32.0, 1200127.0)	(33.0, 1353121.0)	(34.0, 1550369.0)	(35.0, 1814370.0)	(36.0, 2183937.0)	(37.0, 2749067.0)	(38.0, 3716750.0)	(39.0, 5580202.0)	(40.0, 5996654.0)
SRR10898052_1	(13.0, 2.0)	(14.0, 1.0)	(15.0, 9.0)	(16.0, 88.0)	(17.0, 328.0)	(18.0, 1123.0)	(19.0, 3473.0)	(20.0, 8273.0)	(21.0, 16157.0)	(22.0, 28886.0)	(23.0, 48331.0)	(24.0, 74656.0)	(25.0, 111845.0)	(26.0, 159114.0)	(27.0, 213069.0)	(28.0, 277339.0)	(29.0, 350950.0)	(30.0, 430136.0)	(31.0, 517948.0)	(32.0, 613991.0)	(33.0, 727342.0)	(34.0, 862041.0)	(35.0, 1034918.0)	(36.0, 1269155.0)	(37.0, 1634238.0)	(38.0, 2311277.0)	(39.0, 4132824.0)	(40.0, 16817577.0)			
SRR10898052_2	(10.0, 2.0)	(11.0, 9.0)	(12.0, 63.0)	(13.0, 597.0)	(14.0, 3452.0)	(15.0, 17206.0)	(16.0, 56560.0)	(17.0, 116673.0)	(18.0, 177815.0)	(19.0, 227354.0)	(20.0, 271048.0)	(21.0, 310758.0)	(22.0, 352263.0)	(23.0, 393523.0)	(24.0, 439157.0)	(25.0, 485519.0)	(26.0, 535505.0)	(27.0, 590740.0)	(28.0, 653350.0)	(29.0, 722092.0)	(30.0, 800186.0)	(31.0, 893771.0)	(32.0, 1003491.0)	(33.0, 1144849.0)	(34.0, 1320895.0)	(35.0, 1558264.0)	(36.0, 1895434.0)	(37.0, 2414572.0)	(38.0, 3319552.0)	(39.0, 5236018.0)	(40.0, 6704373.0)
SRR10898053_1	(12.0, 1.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 9.0)	(16.0, 57.0)	(17.0, 246.0)	(18.0, 1061.0)	(19.0, 3131.0)	(20.0, 7841.0)	(21.0, 15922.0)	(22.0, 27710.0)	(23.0, 46284.0)	(24.0, 72664.0)	(25.0, 108900.0)	(26.0, 156691.0)	(27.0, 213777.0)	(28.0, 280207.0)	(29.0, 355268.0)	(30.0, 439664.0)	(31.0, 533470.0)	(32.0, 639515.0)	(33.0, 758927.0)	(34.0, 901750.0)	(35.0, 1084573.0)	(36.0, 1333755.0)	(37.0, 1719164.0)	(38.0, 2428196.0)	(39.0, 4352488.0)	(40.0, 18372827.0)		
SRR10898053_2	(10.0, 4.0)	(11.0, 10.0)	(12.0, 89.0)	(13.0, 761.0)	(14.0, 4459.0)	(15.0, 20751.0)	(16.0, 69970.0)	(17.0, 144666.0)	(18.0, 219345.0)	(19.0, 278710.0)	(20.0, 327336.0)	(21.0, 370741.0)	(22.0, 413533.0)	(23.0, 458318.0)	(24.0, 504108.0)	(25.0, 550697.0)	(26.0, 602635.0)	(27.0, 657955.0)	(28.0, 721663.0)	(29.0, 793361.0)	(30.0, 873515.0)	(31.0, 968728.0)	(32.0, 1084470.0)	(33.0, 1230369.0)	(34.0, 1411910.0)	(35.0, 1660701.0)	(36.0, 2014815.0)	(37.0, 2568921.0)	(38.0, 3542863.0)	(39.0, 5601829.0)	(40.0, 6756866.0)
SRR10898054_1	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 12.0)	(16.0, 59.0)	(17.0, 221.0)	(18.0, 914.0)	(19.0, 3050.0)	(20.0, 7711.0)	(21.0, 15418.0)	(22.0, 26645.0)	(23.0, 43658.0)	(24.0, 68549.0)	(25.0, 101487.0)	(26.0, 144119.0)	(27.0, 194616.0)	(28.0, 253722.0)	(29.0, 321274.0)	(30.0, 395725.0)	(31.0, 478693.0)	(32.0, 572522.0)	(33.0, 678702.0)	(34.0, 806985.0)	(35.0, 973375.0)	(36.0, 1200606.0)	(37.0, 1551195.0)	(38.0, 2192304.0)	(39.0, 3956768.0)	(40.0, 16684202.0)		
SRR10898054_2	(10.0, 3.0)	(11.0, 10.0)	(12.0, 59.0)	(13.0, 429.0)	(14.0, 2953.0)	(15.0, 16621.0)	(16.0, 59839.0)	(17.0, 129471.0)	(18.0, 199031.0)	(19.0, 256423.0)	(20.0, 300928.0)	(21.0, 343653.0)	(22.0, 383072.0)	(23.0, 423961.0)	(24.0, 467999.0)	(25.0, 511812.0)	(26.0, 558133.0)	(27.0, 610637.0)	(28.0, 669469.0)	(29.0, 733839.0)	(30.0, 808573.0)	(31.0, 895384.0)	(32.0, 1002818.0)	(33.0, 1132338.0)	(34.0, 1300575.0)	(35.0, 1529125.0)	(36.0, 1854830.0)	(37.0, 2362774.0)	(38.0, 3265698.0)	(39.0, 5078292.0)	(40.0, 5773785.0)
SRR10898055_1	(14.0, 2.0)	(15.0, 5.0)	(16.0, 31.0)	(17.0, 162.0)	(18.0, 756.0)	(19.0, 2713.0)	(20.0, 6682.0)	(21.0, 13571.0)	(22.0, 23598.0)	(23.0, 39010.0)	(24.0, 60493.0)	(25.0, 90285.0)	(26.0, 128705.0)	(27.0, 174013.0)	(28.0, 227627.0)	(29.0, 287945.0)	(30.0, 355243.0)	(31.0, 430253.0)	(32.0, 514251.0)	(33.0, 610987.0)	(34.0, 729367.0)	(35.0, 877581.0)	(36.0, 1079872.0)	(37.0, 1396406.0)	(38.0, 1969190.0)	(39.0, 3531342.0)	(40.0, 14994535.0)				
SRR10898055_2	(10.0, 1.0)	(11.0, 3.0)	(12.0, 35.0)	(13.0, 313.0)	(14.0, 2149.0)	(15.0, 12289.0)	(16.0, 45220.0)	(17.0, 99750.0)	(18.0, 158225.0)	(19.0, 206670.0)	(20.0, 246265.0)	(21.0, 282555.0)	(22.0, 319229.0)	(23.0, 355695.0)	(24.0, 394869.0)	(25.0, 436259.0)	(26.0, 477577.0)	(27.0, 524602.0)	(28.0, 578261.0)	(29.0, 636782.0)	(30.0, 703566.0)	(31.0, 784843.0)	(32.0, 877652.0)	(33.0, 997928.0)	(34.0, 1149773.0)	(35.0, 1356188.0)	(36.0, 1645975.0)	(37.0, 2103267.0)	(38.0, 2917971.0)	(39.0, 4639356.0)	(40.0, 5591357.0)
