Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR10898051_1	SRR10898051_1.fastq	Conventional base calls	Sanger / Illumina 1.9	35245099.0	5.3 Gbp	0.0	151.0	51.0	46.41449259828079	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
SRR10898051_2	SRR10898051_2.fastq	Conventional base calls	Sanger / Illumina 1.9	35245099.0	5.3 Gbp	0.0	151.0	51.0	50.91424692967096	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898052_1	SRR10898052_1.fastq	Conventional base calls	Sanger / Illumina 1.9	31645091.0	4.7 Gbp	0.0	151.0	50.0	51.309778369910916	151.0	151	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
SRR10898052_2	SRR10898052_2.fastq	Conventional base calls	Sanger / Illumina 1.9	31645091.0	4.7 Gbp	0.0	151.0	50.0	54.991828852365174	151.0	151	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
SRR10898053_1	SRR10898053_1.fastq	Conventional base calls	Sanger / Illumina 1.9	33854099.0	5.1 Gbp	0.0	151.0	48.0	58.44195152298563	151.0	151	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
SRR10898053_2	SRR10898053_2.fastq	Conventional base calls	Sanger / Illumina 1.9	33854099.0	5.1 Gbp	0.0	151.0	48.0	62.13622974690395	151.0	151	pass	pass	pass	warn	warn	pass	pass	warn	warn	fail
SRR10898054_1	SRR10898054_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30672534.0	4.6 Gbp	0.0	151.0	46.0	75.8320745200948	151.0	151	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR10898054_2	SRR10898054_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30672534.0	4.6 Gbp	0.0	151.0	46.0	78.6787682627666	151.0	151	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
SRR10898055_1	SRR10898055_1.fastq	Conventional base calls	Sanger / Illumina 1.9	27544625.0	4.1 Gbp	0.0	151.0	45.0	77.67686134539575	151.0	151	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
SRR10898055_2	SRR10898055_2.fastq	Conventional base calls	Sanger / Illumina 1.9	27544625.0	4.1 Gbp	0.0	151.0	45.0	79.96316481305085	151.0	151	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR10898056_1	SRR10898056_1.fastq	Conventional base calls	Sanger / Illumina 1.9	31597355.0	4.7 Gbp	0.0	151.0	49.0	69.80000934760136	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898056_2	SRR10898056_2.fastq	Conventional base calls	Sanger / Illumina 1.9	31597355.0	4.7 Gbp	0.0	151.0	49.0	72.15604278068383	151.0	151	pass	pass	pass	warn	fail	pass	pass	pass	warn	fail
SRR10898057_1	SRR10898057_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30875672.0	4.6 Gbp	0.0	151.0	47.0	72.5815441770209	151.0	151	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
