Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR10898052_2 - illumina_universal_adapter	(1, 2.8440430144441677e-05)	(2, 3.160047793826853e-05)	(3, 4.4240669113575944e-05)	(4, 7.584114705184448e-05)	(5, 9.164138602097873e-05)	(6, 0.00012324186395924728)	(7, 0.0001264019117530741)	(8, 0.00013588205513455467)	(9, 0.00015800238969134264)	(10, 0.0003463412382034231)	(15, 0.0010927445271053256)	(20, 0.002622839668876288)	(25, 0.005144557808350116)	(30, 0.008586481865386325)	(35, 0.01284243423411233)	(40, 0.018424342657128084)	(45, 0.025262686082969395)	(50, 0.03407732339907001)	(55, 0.04586872573695554)	(60, 0.06360733802282319)	(65, 0.08975989356453422)	(70, 0.13322951101641642)	(75, 0.20899860897856165)	(80, 0.34020568940692886)	(85, 0.5746919798713803)	(90, 0.9607126742027697)	(95, 1.6508013833804427)	(100, 2.6652949109863515)	(105, 4.267820244220501)	(110, 6.286985238879547)	(115, 9.125601819252156)	(120, 12.166834976078913)	(125, 16.013774774735204)	(130, 19.70027073077464)	(135, 23.820312603935946)	(140, 26.03382306595358)
SRR10898052_2 - polya	(1, 0.0013240600256134514)	(2, 0.007394511837554836)	(3, 0.009815108447626205)	(4, 0.013461803601702394)	(5, 0.016340607141878658)	(6, 0.019661817373190678)	(7, 0.024029003424259388)	(8, 0.03273177504845854)	(9, 0.04398154519448214)	(10, 0.06689631576663817)	(15, 0.10000413650256212)	(20, 0.13409599612148376)	(25, 0.17498322251625062)	(30, 0.21543562633458696)	(35, 0.24317389385924032)	(40, 0.26999701154280137)	(45, 0.2991680447371758)	(50, 0.32765650760808374)	(55, 0.3619272259321359)	(60, 0.3887433915105506)	(65, 0.4177431501144996)	(70, 0.45213647829295234)	(75, 0.48390633479296996)	(80, 0.5118910860455418)	(85, 0.5447568471204585)	(90, 0.5743601748530285)	(95, 0.6127775078921405)	(100, 0.6393983825168965)	(105, 0.6651906926101113)	(110, 0.6905911567768916)	(115, 0.7108982559095817)	(120, 0.7308255172974538)	(125, 0.7491765468457652)	(130, 0.7706692959106991)	(135, 0.7944556076643925)	(140, 0.8078251378705152)
SRR10898053_1 - illumina_universal_adapter	(1, 4.430778086872139e-05)	(2, 4.726163292663615e-05)	(3, 6.203089321620995e-05)	(4, 0.00011224637820076087)	(5, 0.00013292334260616418)	(6, 0.00015064645495365273)	(7, 0.00017132341935905605)	(8, 0.00018018497553280033)	(9, 0.00020676964405403315)	(10, 0.0003621422623003495)	(15, 0.0008459832293867871)	(20, 0.001596852422508719)	(25, 0.0026679191787086108)	(30, 0.004402421107116157)	(35, 0.00661840092096381)	(40, 0.010118124839181217)	(45, 0.014494552048187725)	(50, 0.02115430689796234)	(55, 0.030685796718441682)	(60, 0.047338433080141934)	(65, 0.07460012449304884)	(70, 0.1229357780279428)	(75, 0.20890409755108236)	(80, 0.36435942365502033)	(85, 0.6535669432525734)	(90, 1.1366948504522303)	(95, 1.9962256269174374)	(100, 3.2599284358446523)	(105, 5.2561109365220435)	(110, 7.722645934248613)	(115, 11.08792173142756)	(120, 14.637974562548541)	(125, 18.989660897488367)	(130, 23.046738889727944)	(135, 27.586350474133134)	(140, 29.98640135128098)
SRR10898053_1 - polya	(1, 0.001485787585131124)	(2, 0.0082855550224509)	(3, 0.010994237359558734)	(4, 0.016828095173940384)	(5, 0.020278194377584824)	(6, 0.02604706744669235)	(7, 0.03205520253249097)	(8, 0.04504624388320008)	(9, 0.05951716511492449)	(10, 0.0903819652680758)	(15, 0.13514818397618558)	(20, 0.1786477909218615)	(25, 0.24166054456212233)	(30, 0.29802181413837064)	(35, 0.33259783401708604)	(40, 0.3649513756074264)	(45, 0.40220358545061263)	(50, 0.4395184169574266)	(55, 0.4823469087155443)	(60, 0.5157449323935633)	(65, 0.5533764168409857)	(70, 0.5970674334000146)	(75, 0.6421963851408362)	(80, 0.6821188772443774)	(85, 0.7283826989458501)	(90, 0.7668631204747172)	(95, 0.8166597492374557)	(100, 0.8500861298952307)	(105, 0.8842881921034141)	(110, 0.9161880220176588)	(115, 0.9405484399392817)	(120, 0.9643558967556632)	(125, 0.9860974294427389)	(130, 1.0123979373960004)	(135, 1.0427369518828429)	(140, 1.0574967598458314)
SRR10898053_2 - illumina_universal_adapter	(1, 3.5446224694977115e-05)	(2, 3.5446224694977115e-05)	(3, 4.726163292663615e-05)	(4, 8.861556173744278e-05)	(5, 0.0001092925261428461)	(6, 0.0001240617864324199)	(7, 0.00014178489877990846)	(8, 0.00014769260289573797)	(9, 0.00017132341935905605)	(10, 0.0003261052671937895)	(15, 0.0008235339537466348)	(20, 0.0017090988007094799)	(25, 0.0033573482490259154)	(30, 0.006013452019502867)	(35, 0.009308178604900989)	(40, 0.013873061575202458)	(45, 0.019443435786018114)	(50, 0.027281777606900714)	(55, 0.03787192800493672)	(60, 0.05534455369791411)	(65, 0.08323718791039159)	(70, 0.13150431207754193)	(75, 0.2161522597307936)	(80, 0.36709528143106096)	(85, 0.6454781147771795)	(90, 1.1074977951709777)	(95, 1.924948585989543)	(100, 3.11973211870149)	(105, 4.994723386376344)	(110, 7.292594613136802)	(115, 10.400976850690961)	(120, 13.655576537423135)	(125, 17.606591154589584)	(130, 21.240154109551106)	(135, 25.24979914544469)	(140, 27.349559650073687)
SRR10898053_2 - polya	(1, 0.0016896033771272424)	(2, 0.008518909335026166)	(3, 0.011162606926859876)	(4, 0.015971478077145104)	(5, 0.019368407943747078)	(6, 0.023551062457754377)	(7, 0.029314027822746072)	(8, 0.040163526431466985)	(9, 0.05417069289009877)	(10, 0.08318342780293755)	(15, 0.12633625251701425)	(20, 0.16961077593587706)	(25, 0.23247052003953791)	(30, 0.2899247148772147)	(35, 0.32455390409297263)	(40, 0.3570267813064527)	(45, 0.3929911116523881)	(50, 0.42877407548196744)	(55, 0.4709586274914598)	(60, 0.5031172148459777)	(65, 0.5376105268670714)	(70, 0.578016859937699)	(75, 0.6215920854960577)	(80, 0.6609049025348452)	(85, 0.7056628504571928)	(90, 0.7423372868378509)	(95, 0.7892350051909519)	(100, 0.8213315616522536)	(105, 0.8524119930056328)	(110, 0.8822139971883465)	(115, 0.9056534040383116)	(120, 0.9282391476435393)	(125, 0.9496415781143666)	(130, 0.9754044849930874)	(135, 1.0042671642213843)	(140, 1.0198942231485766)
SRR10898054_1 - illumina_universal_adapter	(1, 9.780737385440668e-06)	(2, 2.2821720566028225e-05)	(3, 2.9342212156322005e-05)	(4, 6.520491590293778e-05)	(5, 7.172540749323156e-05)	(6, 8.476639067381912e-05)	(7, 8.476639067381912e-05)	(8, 8.802663646896602e-05)	(9, 0.00011410860283014112)	(10, 0.00024712663127213425)	(15, 0.0006624819455738479)	(20, 0.001354306103304018)	(25, 0.002269131073422235)	(30, 0.0037003789774917193)	(35, 0.005605014571016533)	(40, 0.008727025944449194)	(45, 0.013048155721336881)	(50, 0.019239362486320823)	(55, 0.028543451936511016)	(60, 0.04347472562912474)	(65, 0.06755490107207966)	(70, 0.10919671651517282)	(75, 0.18341555999253273)	(80, 0.31652357121847186)	(85, 0.5586502895391688)	(90, 0.9689561351533591)	(95, 1.6886723477101697)	(100, 2.7621271851878952)	(105, 4.454701395065696)	(110, 6.613346650785357)	(115, 9.636089408198227)	(120, 12.97833103714222)	(125, 17.2037654274016)	(130, 21.421163311775935)	(135, 26.284980562740593)	(140, 28.9900664874966)
SRR10898054_1 - polya	(1, 0.002419102379998992)	(2, 0.01242153647950965)	(3, 0.017015222804871617)	(4, 0.025302767616135008)	(5, 0.03056154408370694)	(6, 0.03696140657958028)	(7, 0.04432304158502196)	(8, 0.060679694739273905)	(9, 0.08075628834578845)	(10, 0.12012310427302811)	(15, 0.1771826220813709)	(20, 0.23195279529236154)	(25, 0.29721509152129394)	(30, 0.3605988341230627)	(35, 0.40447000564087726)	(40, 0.4473624513709888)	(45, 0.49311413266344406)	(50, 0.5376021426857005)	(55, 0.591658322067554)	(60, 0.6340558624859621)	(65, 0.681903881824697)	(70, 0.7361576321017363)	(75, 0.7858053071193922)	(80, 0.8289442274316168)	(85, 0.8826704699390016)	(90, 0.9350234969174702)	(95, 1.0005863878087151)	(100, 1.044800537184179)	(105, 1.089009470166371)	(110, 1.1317845470478571)	(115, 1.1661729676459074)	(120, 1.1981338092248914)	(125, 1.2284723524962105)	(130, 1.2633824124214843)	(135, 1.3019022164911447)	(140, 1.3196790327137626)
SRR10898054_2 - illumina_universal_adapter	(1, 9.780737385440668e-06)	(2, 1.9561474770881336e-05)	(3, 2.6081966361175115e-05)	(4, 5.868442431264401e-05)	(5, 6.520491590293778e-05)	(6, 6.846516169808468e-05)	(7, 6.846516169808468e-05)	(8, 7.498565328837846e-05)	(9, 0.00010106761964955356)	(10, 0.00023017335313737039)	(15, 0.0006298794876223791)	(20, 0.0013856044629374279)	(25, 0.0026453634381821862)	(30, 0.004720183862213666)	(35, 0.00730490672860612)	(40, 0.011204160699601801)	(45, 0.016292752336667063)	(50, 0.02322925129042159)	(55, 0.033298194404153235)	(60, 0.048715896769402876)	(65, 0.0728580168824656)	(70, 0.11402905283273954)	(75, 0.18613460498568526)	(80, 0.31402491884107125)	(85, 0.5448320637610182)	(90, 0.9341001953082845)	(95, 1.6124054178242981)	(100, 2.618265579231243)	(105, 4.195353406405874)	(110, 6.189472966270084)	(115, 8.95934453931977)	(120, 11.9997949957444)	(125, 15.808122015611753)	(130, 19.555726305495334)	(135, 23.813369968063288)	(140, 26.155951119004385)
SRR10898054_2 - polya	(1, 0.0032895880073032114)	(2, 0.013588704474172235)	(3, 0.018188911291124495)	(4, 0.025638572933035137)	(5, 0.030868007188450747)	(6, 0.036573437329957804)	(7, 0.04421871371957726)	(8, 0.05931039150531221)	(9, 0.07862408759576238)	(10, 0.11742557690212356)	(15, 0.17248721608720036)	(20, 0.22717392700583527)	(25, 0.29052115485469837)	(30, 0.35240714053817657)	(35, 0.3952187321725685)	(40, 0.4364399759080877)	(45, 0.4805765314336273)	(50, 0.523740229613895)	(55, 0.5757333254565795)	(60, 0.6165776847781796)	(65, 0.661374766101816)	(70, 0.7120552869873744)	(75, 0.7587948227557593)	(80, 0.7996020152752948)	(85, 0.8500804009215541)	(90, 0.8977641038722135)	(95, 0.9583570760733364)	(100, 0.9998567447997612)	(105, 1.0404735389648603)	(110, 1.0799688085764287)	(115, 1.1121950341631375)	(120, 1.1420895319571573)	(125, 1.1700983035832644)	(130, 1.202580132440313)	(135, 1.2386019361817318)	(140, 1.2572583667198804)
SRR10898055_1 - illumina_universal_adapter	(1, 2.1782834219017323e-05)	(2, 2.1782834219017323e-05)	(3, 3.267425132852598e-05)	(4, 7.987039213639685e-05)	(5, 9.439228161574173e-05)	(6, 0.00010165322635541417)	(7, 0.0001089141710950866)	(8, 0.00012706653294426772)	(9, 0.00014158842242361258)	(10, 0.0002846290337951597)	(15, 0.0006476762707787817)	(20, 0.0012975308249794652)	(25, 0.00212890899767196)	(30, 0.003377065398421652)	(35, 0.005142201064636023)	(40, 0.007985587024691751)	(45, 0.011711903865091647)	(50, 0.0169332492273901)	(55, 0.024934084236035162)	(60, 0.03814755147329106)	(65, 0.060417595084340414)	(70, 0.09980531591916753)	(75, 0.1709996051861298)	(80, 0.2992605635400736)	(85, 0.5354365869929251)	(90, 0.932205103536534)	(95, 1.636219770644908)	(100, 2.6856782403100423)	(105, 4.351414477416193)	(110, 6.474152398153905)	(115, 9.450142813706849)	(120, 12.740380382742549)	(125, 16.889396751634845)	(130, 21.046451712448437)	(135, 25.829789296459836)	(140, 28.515458097541718)
SRR10898055_1 - polya	(1, 0.0029915092327450457)	(2, 0.01258321723385234)	(3, 0.016979719273724003)	(4, 0.025028476517650902)	(5, 0.029944136106409145)	(6, 0.036402746452347784)	(7, 0.043656430247280546)	(8, 0.06066519329996324)	(9, 0.08080705400781459)	(10, 0.11940768843286123)	(15, 0.17581143326511067)	(20, 0.2307942112118063)	(25, 0.2952467132879827)	(30, 0.3576530811365194)	(35, 0.4013131418561698)	(40, 0.4453725545365021)	(45, 0.49156523278135034)	(50, 0.536858279972953)	(55, 0.5911512681693797)	(60, 0.633748326579142)	(65, 0.6826224717163513)	(70, 0.7360782729842936)	(75, 0.7843352378186307)	(80, 0.8270942152960877)	(85, 0.8824218881179178)	(90, 0.9346229981348447)	(95, 1.0007034040216558)	(100, 1.0443816171031552)	(105, 1.0874883938336428)	(110, 1.1294406803505221)	(115, 1.163782044591277)	(120, 1.195876146435103)	(125, 1.2270132557622404)	(130, 1.2614468340011888)	(135, 1.2984965306298415)	(140, 1.3158102533615905)
SRR10898055_2 - illumina_universal_adapter	(1, 2.1782834219017323e-05)	(2, 2.1782834219017323e-05)	(3, 2.9043778958689763e-05)	(4, 8.713133687606929e-05)	(5, 9.802275398557794e-05)	(6, 0.00010165322635541417)	(7, 0.0001089141710950866)	(8, 0.00013069700531410393)	(9, 0.00014884936716328504)	(10, 0.00028245075037325795)	(15, 0.0006440457984089454)	(20, 0.001403540618178683)	(25, 0.002575457099161815)	(30, 0.004283231301932773)	(35, 0.006619803319159364)	(40, 0.010087630526826923)	(45, 0.01451971119592298)	(50, 0.02051362107852258)	(55, 0.02930807734721384)	(60, 0.043140177076289844)	(65, 0.06583934252145382)	(70, 0.10487635972535476)	(75, 0.17450301102302174)	(80, 0.2984807380750328)	(85, 0.5255776762253979)	(90, 0.90520310223864)	(95, 1.5743550692739507)	(100, 2.565935822324682)	(105, 4.130450859287429)	(110, 6.108385211270802)	(115, 8.85934515354629)	(120, 11.881091138470754)	(125, 15.656082448027519)	(130, 19.38763951224604)	(135, 23.62028889483883)	(140, 25.97264983640184)
SRR10898055_2 - polya	(1, 0.003459840168453918)	(2, 0.013948274844910758)	(3, 0.018083382874154213)	(4, 0.025427828478332887)	(5, 0.03048507648951474)	(6, 0.036243005668074986)	(7, 0.04373267016704711)	(8, 0.058759195305799226)	(9, 0.07834922421343547)	(10, 0.1165156541430497)	(15, 0.17196168036413637)	(20, 0.2256244185571595)	(25, 0.2888657950507586)	(30, 0.35015470350385963)	(35, 0.3934785824820632)	(40, 0.4356552321913985)	(45, 0.4799970956221042)	(50, 0.5232941091047708)	(55, 0.5752018769542152)	(60, 0.6160265387530235)	(65, 0.662101589693089)	(70, 0.7129528900829109)	(75, 0.7591041809427429)	(80, 0.7992513965973398)	(85, 0.8510894593772832)	(90, 0.9000013614271388)	(95, 0.9604981008091414)	(100, 1.001517355926973)	(105, 1.0417335505565968)	(110, 1.0807771026107635)	(115, 1.1124914570447046)	(120, 1.1418641568001016)	(125, 1.1702050763079912)	(130, 1.2031218431908222)	(135, 1.2380469873886466)	(140, 1.2565319005069047)
SRR10898056_1 - illumina_universal_adapter	(1, 2.848339679064909e-05)	(2, 2.848339679064909e-05)	(3, 4.747232798441515e-05)	(4, 6.962608104380888e-05)	(5, 9.49446559688303e-05)	(6, 0.00013292251835636242)	(7, 0.00015191144955012848)	(8, 0.00017406520260952223)	(9, 0.00022153753059393736)	(10, 0.00048548367418728563)	(15, 0.00139505347836868)	(20, 0.003164188901254551)	(25, 0.005413111318969578)	(30, 0.008525397141627835)	(35, 0.01230735927105291)	(40, 0.017677429012649952)	(45, 0.024258992564409266)	(50, 0.03375662298315792)	(55, 0.046190575128835946)	(60, 0.0668549630182653)	(65, 0.09835570097560382)	(70, 0.153260296629259)	(75, 0.2500873886437646)	(80, 0.42316833165307666)	(85, 0.7435793280798346)	(90, 1.2753561176244024)	(95, 2.22750923297219)	(100, 3.6136125951048754)	(105, 5.802222369562263)	(110, 8.454244350516047)	(115, 12.06734361151432)	(120, 15.911599562684916)	(125, 20.668930674735275)	(130, 25.207022549830516)	(135, 30.151456664648038)	(140, 32.72034004112053)
SRR10898056_1 - polya	(1, 0.0033135684933121774)	(2, 0.011576918384466041)	(3, 0.015229122817400381)	(4, 0.021704348354474608)	(5, 0.026787052270672657)	(6, 0.03320531101416559)	(7, 0.04107305817211599)	(8, 0.056688289257122944)	(9, 0.07534807897686373)	(10, 0.11478049349383834)	(15, 0.16412702898707818)	(20, 0.2127013479451049)	(25, 0.26904403865450127)	(30, 0.32542280833316584)	(35, 0.36484319652705105)	(40, 0.40289384981749266)	(45, 0.4444891035974372)	(50, 0.48452220130450796)	(55, 0.5345232219595595)	(60, 0.5742297100500975)	(65, 0.6169174603380567)	(70, 0.6682844181103132)	(75, 0.7182303708649032)	(80, 0.7614732309080934)	(85, 0.8095582684056941)	(90, 0.8551070176601806)	(95, 0.9157665253942934)	(100, 0.9561420568272249)	(105, 0.9951959586490705)	(110, 1.0316401483605193)	(115, 1.0616103784636404)	(120, 1.0904665912700604)	(125, 1.1159484710033483)	(130, 1.1457883104456053)	(135, 1.181062149031145)	(140, 1.198239536189026)
SRR10898056_2 - illumina_universal_adapter	(1, 2.5318574925021413e-05)	(2, 2.5318574925021413e-05)	(3, 4.747232798441515e-05)	(4, 6.962608104380888e-05)	(5, 9.177983410320262e-05)	(6, 0.00012659287462510706)	(7, 0.00013925216208761777)	(8, 0.00016140591514701152)	(9, 0.0002025485994001713)	(10, 0.0004513035980385067)	(15, 0.0013988512646074332)	(20, 0.003420539472370393)	(25, 0.006791707723636993)	(30, 0.011764275838911199)	(35, 0.01784073382091634)	(40, 0.025428077761572132)	(45, 0.034294642700314626)	(50, 0.04636274143832608)	(55, 0.06115511883826985)	(60, 0.08385068940105904)	(65, 0.11702625108968774)	(70, 0.1732866564305778)	(75, 0.2699599381024139)	(80, 0.4397463015496076)	(85, 0.7511052744762972)	(90, 1.264523565342732)	(95, 2.1782589080636656)	(100, 3.498921982552021)	(105, 5.5747324420034525)	(110, 8.07389732463366)	(115, 11.453720097774006)	(120, 15.026059617964858)	(125, 19.4104823014458)	(130, 23.537168854798132)	(135, 27.99063845692147)	(140, 30.289054257864304)
SRR10898056_2 - polya	(1, 0.003721830513978148)	(2, 0.012564342806541876)	(3, 0.016165910089626173)	(4, 0.021286591868211753)	(5, 0.026252197375381578)	(6, 0.03147731827553287)	(7, 0.03870260659476086)	(8, 0.052517054038225666)	(9, 0.06998370591462481)	(10, 0.10583607393720137)	(15, 0.15231464785580945)	(20, 0.20127570804581585)	(25, 0.25764814808074915)	(30, 0.31392627642408677)	(35, 0.35343211480834397)	(40, 0.3906928285611248)	(45, 0.4312430581610391)	(50, 0.47102486901197904)	(55, 0.5208973978992862)	(60, 0.5593316275998418)	(65, 0.5992324357529293)	(70, 0.648321354746307)	(75, 0.6961190264185089)	(80, 0.7380548150311947)	(85, 0.7844473057950578)	(90, 0.827074291503197)	(95, 0.8854779142114901)	(100, 0.9237912477167789)	(105, 0.9601246686629308)	(110, 0.9950029045152672)	(115, 1.0235483318144827)	(120, 1.051226597922516)	(125, 1.076513524628881)	(130, 1.1058311684633098)	(135, 1.1400258027926706)	(140, 1.1594040070759086)
SRR10898057_1 - illumina_universal_adapter	(1, 2.2671571326447567e-05)	(2, 2.2671571326447567e-05)	(3, 5.829832626800803e-05)	(4, 9.716387711334672e-05)	(5, 0.00012631304024735072)	(6, 0.00015222340747757652)	(7, 0.0001619397951889112)	(8, 0.00017165618290024588)	(9, 0.00019432775422669344)	(10, 0.0003653361779461836)	(15, 0.0009366597753726624)	(20, 0.0019406865055439121)	(25, 0.0031338589164958087)	(30, 0.004760382219373234)	(35, 0.006792402769403691)	(40, 0.009921079612453455)	(45, 0.013863989745713064)	(50, 0.019572043646531805)	(55, 0.0275006160189809)	(60, 0.04110226329648793)	(65, 0.063287367478188)	(70, 0.10141382509828449)	(75, 0.17106283549067372)	(80, 0.2969172622380495)	(85, 0.5276510257007524)	(90, 0.9222782260415254)	(95, 1.6229502632363761)	(100, 2.681702927793766)	(105, 4.369028793931999)	(110, 6.524309495190906)	(115, 9.548763181575449)	(120, 12.898616749135048)	(125, 17.12978813870027)	(130, 21.375262050976573)	(135, 26.28269596852823)	(140, 29.018830748040074)
SRR10898057_1 - polya	(1, 0.00231573907120143)	(2, 0.010590862605354792)	(3, 0.014108194956857943)	(4, 0.02067971184562396)	(5, 0.025133056213319016)	(6, 0.030499741025879535)	(7, 0.03683158701776596)	(8, 0.0509851251172768)	(9, 0.06823495210079962)	(10, 0.1022319449435789)	(15, 0.15213855102489754)	(20, 0.20031175353851408)	(25, 0.25797721908692384)	(30, 0.31493533160994847)	(35, 0.35453868016216783)	(40, 0.39388227728290415)	(45, 0.43641997492394663)	(50, 0.47794846376137173)	(55, 0.5272591313963952)	(60, 0.5659666290016295)	(65, 0.6102422645246394)	(70, 0.6604423055148402)	(75, 0.7063600105610657)	(80, 0.7457696791182391)	(85, 0.7956717508852924)	(90, 0.8438462489172706)	(95, 0.9050225692253759)	(100, 0.945347521504957)	(105, 0.985609641144005)	(110, 1.024251067312802)	(115, 1.0557528917913106)	(120, 1.0851993763892815)	(125, 1.112968812468276)	(130, 1.1449337847610248)	(135, 1.1790544996073282)	(140, 1.1945132724560619)
SRR10898057_2 - illumina_universal_adapter	(1, 1.9432775422669342e-05)	(2, 1.9432775422669342e-05)	(3, 4.5343142652895135e-05)	(4, 7.125350988312093e-05)	(5, 9.39250812095685e-05)	(6, 0.0001230742443435725)	(7, 0.00012955183615112896)	(8, 0.00013926822386246362)	(9, 0.00016841738699646764)	(10, 0.00033618701481217964)	(15, 0.0008848390409122109)	(20, 0.0019529939299782692)	(25, 0.0035393561636488428)	(30, 0.005857038512392541)	(35, 0.008718190813790223)	(40, 0.012766037934332248)	(45, 0.017708440483497817)	(50, 0.02436481382494282)	(55, 0.03318211179338866)	(60, 0.04761807289570896)	(65, 0.07038745585845063)	(70, 0.1085229821070777)	(75, 0.17700084390066068)	(80, 0.29894733951053765)	(85, 0.5208437244701913)	(90, 0.898252190268118)	(95, 1.5642840097536987)	(100, 2.5652526688326005)	(105, 4.152375371781382)	(110, 6.164610117635658)	(115, 8.964346427828357)	(120, 12.046523878087577)	(125, 15.903287870139314)	(130, 19.724153696152747)	(135, 24.084285517737072)	(140, 26.490137607369324)
SRR10898057_2 - polya	(1, 0.0027238273550774864)	(2, 0.010927697379347727)	(3, 0.014522760832541556)	(4, 0.020394697806091475)	(5, 0.024498252216178486)	(6, 0.02924956580702114)	(7, 0.03540975561600732)	(8, 0.04790179141687993)	(9, 0.06373626459045166)	(10, 0.09670979792763701)	(15, 0.14545691507540306)	(20, 0.19376744253533978)	(25, 0.25020475667703684)	(30, 0.30591852381382983)	(35, 0.34501402916833684)	(40, 0.3835712466436358)	(45, 0.42413522206091575)	(50, 0.46371719456017024)	(55, 0.5119143641634747)	(60, 0.5489551773966247)	(65, 0.590358648712164)	(70, 0.63690273688618)	(75, 0.6799579941126463)	(80, 0.7174224418500106)	(85, 0.7647101575635341)	(90, 0.8092468400363885)	(95, 0.8663286745629375)	(100, 0.9041299570742947)	(105, 0.941161701678914)	(110, 0.9768253788937777)	(115, 1.0059687121951548)	(120, 1.0337478646618607)	(125, 1.0597560435283806)	(130, 1.0897155533975098)	(135, 1.1220665901619893)	(140, 1.1391233849096467)
SRR10898058_1 - illumina_universal_adapter	(1, 2.2933009370722482e-05)	(2, 2.620915356653998e-05)	(3, 4.2589874545627466e-05)	(4, 8.517974909125493e-05)	(5, 0.00010483661426615992)	(6, 0.00012776962363688239)	(7, 0.0001343219120285174)	(8, 0.00014415034461596988)	(9, 0.00016053106559505738)	(10, 0.0002909216045885938)	(15, 0.0006617811275551345)	(20, 0.0011918612584384054)	(25, 0.001929648931336506)	(30, 0.003060573907732706)	(35, 0.004661297961809135)	(40, 0.007309732929708002)	(45, 0.010941011156352114)	(50, 0.016400377844262393)	(55, 0.024132733375230846)	(60, 0.03738670233383012)	(65, 0.059116056327009246)	(70, 0.09767496305410288)	(75, 0.16675901571130644)	(80, 0.29221961291897663)	(85, 0.52153529159174)	(90, 0.915491631138794)	(95, 1.6087833687981405)	(100, 2.664437621837755)	(105, 4.323338789314672)	(110, 6.474392166319882)	(115, 9.457757183789758)	(120, 12.803468335918922)	(125, 16.997718525943476)	(130, 21.249550226353715)	(135, 26.09540059823048)	(140, 28.819542671892815)
SRR10898058_1 - polya	(1, 0.002529183319171108)	(2, 0.011702387067460102)	(3, 0.015846709475169234)	(4, 0.023512886893382177)	(5, 0.02821087767018447)	(6, 0.03433726731636319)	(7, 0.04124665542534229)	(8, 0.057276828975477305)	(9, 0.07663228888436709)	(10, 0.11386763335635042)	(15, 0.17026842137386616)	(20, 0.22450433330678563)	(25, 0.28904109782019455)	(30, 0.3517949846622395)	(35, 0.39545550313106015)	(40, 0.4396539644768341)	(45, 0.4865559000129965)	(50, 0.5323544301840076)	(55, 0.588862020502307)	(60, 0.6324779834100644)	(65, 0.6818907558579014)	(70, 0.7368467642850616)	(75, 0.7868918325626915)	(80, 0.8302234261542518)	(85, 0.8862644935390669)	(90, 0.9398622125826412)	(95, 1.0078225477806793)	(100, 1.0524436317277135)	(105, 1.0965621551551095)	(110, 1.1399605820882648)	(115, 1.1752767612903383)	(120, 1.2085473160565434)	(125, 1.2398960846374816)	(130, 1.2757731397258791)	(135, 1.3141426853184546)	(140, 1.3316346744087633)
SRR10898058_2 - illumina_universal_adapter	(1, 1.310457678326999e-05)	(2, 1.310457678326999e-05)	(3, 1.9656865174904984e-05)	(4, 6.879902811216745e-05)	(5, 8.517974909125493e-05)	(6, 9.828432587452492e-05)	(7, 0.00010811275846197741)	(8, 0.00011466504685361241)	(9, 0.0001310457678326999)	(10, 0.00025422878959543776)	(15, 0.0006316406009536135)	(20, 0.0012351063618231965)	(25, 0.002332614667422058)	(30, 0.004055866514422061)	(35, 0.006282989338738797)	(40, 0.009563720136430438)	(45, 0.013898058907496989)	(50, 0.020247881587830464)	(55, 0.028756683293207665)	(60, 0.04261280755499819)	(65, 0.06477264689550774)	(70, 0.10325030524654508)	(75, 0.17104879892130986)	(80, 0.29266516852960783)	(85, 0.513512669685022)	(90, 0.8910090055634499)	(95, 1.5517902539100208)	(100, 2.5530480639511213)	(105, 4.117633626632326)	(110, 6.131320243193426)	(115, 8.90320360053489)	(120, 11.992557779799013)	(125, 15.832548669497232)	(130, 19.678916246258193)	(135, 24.004862191123898)	(140, 26.413329425111716)
SRR10898058_2 - polya	(1, 0.0029812912181939226)	(2, 0.01273764863333843)	(3, 0.016698506966081786)	(4, 0.023620999651844155)	(5, 0.02849590221522059)	(6, 0.03351823126740881)	(7, 0.04053573213484989)	(8, 0.05545529280260278)	(9, 0.0745027951570857)	(10, 0.11014331263454509)	(15, 0.16409616570894597)	(20, 0.21718018534261602)	(25, 0.2809470559700078)	(30, 0.3420458347643258)	(35, 0.38445290046382674)	(40, 0.4269333517933139)	(45, 0.472243081250309)	(50, 0.5163969870350197)	(55, 0.5713916539636905)	(60, 0.612426670473983)	(65, 0.6589472628257524)	(70, 0.7111814506550272)	(75, 0.7588893176633608)	(80, 0.8005336969940755)	(85, 0.8540095434735655)	(90, 0.9043167032868604)	(95, 0.9666538645871976)	(100, 1.0080925020624147)	(105, 1.0488038355261604)	(110, 1.0893775709336817)	(115, 1.1219981386914366)	(120, 1.152881694796569)	(125, 1.1827195056743964)	(130, 1.2168398922449966)	(135, 1.2536303363351877)	(140, 1.2722447324269837)
