Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10898052_1	(1.0, 45.448320610467015)	(2.0, 8.511898333452915)	(3.0, 2.2655350306223925)	(4.0, 1.0234166233227548)	(5.0, 0.624332609806976)	(6.0, 0.47559812653640754)	(7.0, 0.37586871599204275)	(8.0, 0.3110467939899183)	(9.0, 0.2640118107260601)	('>10', 3.958049625051053)	('>50', 1.872366459239538)	('>100', 6.434751644852733)	('>500', 4.313552120443474)	('>1k', 10.071644546964583)	('>5k', 3.6560867237840453)	('>10k+', 10.393520224748293)
SRR10898052_2	(1.0, 49.45330476874305)	(2.0, 7.903175300493621)	(3.0, 2.237183665545852)	(4.0, 0.9749313788123914)	(5.0, 0.6135850989143601)	(6.0, 0.446336835830466)	(7.0, 0.3862180628137177)	(8.0, 0.3069322556147295)	(9.0, 0.2810888237407164)	('>10', 4.100113554244171)	('>50', 1.9496105632032517)	('>100', 6.378593943454895)	('>500', 4.066292983519645)	('>1k', 8.972357065273368)	('>5k', 3.4415182458007045)	('>10k+', 8.488757453995158)
SRR10898053_1	(1.0, 51.22935681637896)	(2.0, 10.32767270323658)	(3.0, 2.9638719324030025)	(4.0, 1.3263779958621793)	(5.0, 0.8271547719935108)	(6.0, 0.5617751531235127)	(7.0, 0.4492720191842708)	(8.0, 0.36190205116678903)	(9.0, 0.3534919929751626)	('>10', 4.8888980436551)	('>50', 2.170656156835505)	('>100', 6.208168438254763)	('>500', 3.3498961271583765)	('>1k', 7.574937451131871)	('>5k', 2.3843346773866276)	('>10k+', 5.022233669253998)
SRR10898053_2	(1.0, 55.40481680862097)	(2.0, 9.683401539406383)	(3.0, 2.5758304333359967)	(4.0, 1.2462805015545453)	(5.0, 0.8137283024021496)	(6.0, 0.5570660286499665)	(7.0, 0.45429530817895847)	(8.0, 0.36989664754493534)	(9.0, 0.30567989507774906)	('>10', 4.950330891850781)	('>50', 2.270519092267451)	('>100', 5.955707799720648)	('>500', 2.986155255258996)	('>1k', 6.5874381121019)	('>5k', 1.8203100030136883)	('>10k+', 4.018543381014766)
SRR10898054_1	(1.0, 68.32927558921091)	(2.0, 11.537315488176107)	(3.0, 2.824809889363705)	(4.0, 1.145064740656816)	(5.0, 0.6503046610945648)	(6.0, 0.44526409670314565)	(7.0, 0.34934821554562356)	(8.0, 0.2587255505342355)	(9.0, 0.2403462543146895)	('>10', 3.010426262852451)	('>50', 1.0448596705677802)	('>100', 3.07345159086848)	('>500', 1.985669494034838)	('>1k', 3.9456306680277886)	('>5k', 0.8439083109144538)	('>10k+', 0.3155995171342699)
SRR10898054_2	(1.0, 71.94221745803236)	(2.0, 10.447208895000866)	(3.0, 2.383998076778481)	(4.0, 0.9933960922865853)	(5.0, 0.55784038180141)	(6.0, 0.42769121043565617)	(7.0, 0.31420743889203917)	(8.0, 0.25277413455467757)	(9.0, 0.23220779298992042)	('>10', 2.873614339920892)	('>50', 1.0253193596639791)	('>100', 2.8646942201193957)	('>500', 1.7059961075113719)	('>1k', 3.2192263169842597)	('>5k', 0.5811121920582135)	('>10k+', 0.1784959829698969)
SRR10898055_1	(1.0, 70.63612464229718)	(2.0, 10.863848080157691)	(3.0, 2.6004396643790653)	(4.0, 1.0933123345920643)	(5.0, 0.6067318825784598)	(6.0, 0.3819798337671779)	(7.0, 0.2813767158342487)	(8.0, 0.2553618607180031)	(9.0, 0.21211924608298927)	('>10', 2.9105834379713835)	('>50', 1.1160448076047964)	('>100', 3.0192493822995674)	('>500', 1.758428569781514)	('>1k', 3.3597398702424766)	('>5k', 0.616372265936737)	('>10k+', 0.2882874057566508)
SRR10898055_2	(1.0, 73.5651843939065)	(2.0, 9.906470357910855)	(3.0, 2.2887825684436427)	(4.0, 0.9213459696378851)	(5.0, 0.5384465628112651)	(6.0, 0.38359641135827455)	(7.0, 0.3057644027860145)	(8.0, 0.24682824773627918)	(9.0, 0.20401519444089833)	('>10', 2.8948388736344732)	('>50', 1.0550441382870117)	('>100', 2.8046680125704446)	('>500', 1.550848698208219)	('>1k', 2.7632432444645936)	('>5k', 0.4637096977057003)	('>10k+', 0.1072132260981025)
SRR10898056_1	(1.0, 61.25064288355554)	(2.0, 13.218383388973324)	(3.0, 3.3735539395854164)	(4.0, 1.2221833114813898)	(5.0, 0.6498083913042094)	(6.0, 0.45193625426660533)	(7.0, 0.3180148249825489)	(8.0, 0.2771990817413332)	(9.0, 0.2127891836826071)	('>10', 3.0878226257941703)	('>50', 1.2978859479452236)	('>100', 3.7366112507472313)	('>500', 1.7915282518528488)	('>1k', 4.690987380837322)	('>5k', 1.9029583735582773)	('>10k+', 2.517694909692004)
SRR10898056_2	(1.0, 64.22791076782588)	(2.0, 12.334392103977759)	(3.0, 2.9900283892989448)	(4.0, 1.073050155713341)	(5.0, 0.6468187171927133)	(6.0, 0.39079805940255624)	(7.0, 0.31593942861382357)	(8.0, 0.27273160565162663)	(9.0, 0.2165718822778947)	('>10', 3.00432508780031)	('>50', 1.2349603225010741)	('>100', 3.6621892701085903)	('>500', 1.6581637170571664)	('>1k', 4.190775238657158)	('>5k', 1.6199936564616157)	('>10k+', 2.1613515974596447)
