Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR049663	(1.0, 29.056272387754788)	(2.0, 10.788417824823112)	(3.0, 4.820335524958921)	(4.0, 2.8958705661433823)	(5.0, 2.1477345055177426)	(6.0, 1.5903884914740298)	(7.0, 1.3064602402964993)	(8.0, 1.0609184492761337)	(9.0, 0.8702580474854403)	('>10', 10.95689252957364)	('>50', 3.9167266124098536)	('>100', 10.356178334955732)	('>500', 4.762411058273518)	('>1k', 10.36014382632813)	('>5k', 2.5667078712763005)	('>10k+', 2.544283729452843)
DRR049664	(1.0, 16.78178864738136)	(2.0, 6.604283539332374)	(3.0, 3.1002907364067553)	(4.0, 1.872964469127367)	(5.0, 1.3924676056058691)	(6.0, 1.0999415764653475)	(7.0, 0.9217602425653898)	(8.0, 0.7690063900300189)	(9.0, 0.66681232323523)	('>10', 10.072628417398676)	('>50', 4.750398974451634)	('>100', 14.563551226490926)	('>500', 7.170080194656436)	('>1k', 16.29306470324042)	('>5k', 5.496080948115191)	('>10k+', 8.444880005496938)
DRR049665	(1.0, 44.61805180572694)	(2.0, 11.637757185074527)	(3.0, 5.678838653577438)	(4.0, 3.643028415527435)	(5.0, 2.6087630346184487)	(6.0, 2.0450251590832176)	(7.0, 1.6497031415747523)	(8.0, 1.3627719475101794)	(9.0, 1.1712210386850264)	('>10', 12.915554017076882)	('>50', 2.9696612685148915)	('>100', 3.2557142203497915)	('>500', 0.6108783406294696)	('>1k', 0.9278050547195179)	('>5k', 0.8671856251275503)	('>10k+', 4.038041092203925)
DRR049668_1	(1.0, 71.29136623624767)	(2.0, 8.32984183340349)	(3.0, 1.4224046240544619)	(4.0, 0.6314743107635518)	(5.0, 0.4232077776859047)	(6.0, 0.3595216780574256)	(7.0, 0.2895031586274317)	(8.0, 0.24552313018517424)	(9.0, 0.20151626290414393)	('>10', 2.4763340574948836)	('>50', 1.036991273603062)	('>100', 2.6651632799406078)	('>500', 0.313523014221834)	('>1k', 0.4902983357434227)	('>5k', 0.0817128231536316)	('>10k+', 9.741618203913465)
DRR049668_2	(1.0, 72.12304078851197)	(2.0, 7.97923462616711)	(3.0, 1.3541209509534256)	(4.0, 0.6246154407343718)	(5.0, 0.44204553891640597)	(6.0, 0.31880200417911503)	(7.0, 0.24773234996397536)	(8.0, 0.21536749842474118)	(9.0, 0.2127288960267138)	('>10', 2.462051888001814)	('>50', 0.9912947478928047)	('>100', 2.594079731956299)	('>500', 0.30026508914735783)	('>1k', 0.4572004424625911)	('>5k', 0.07088054741440916)	('>10k+', 9.606539459246925)
DRR049669_1	(1.0, 74.81463249995713)	(2.0, 6.486636363634639)	(3.0, 1.2257782797278987)	(4.0, 0.5467977245104091)	(5.0, 0.42140185853108447)	(6.0, 0.3356785585860976)	(7.0, 0.28426177147449244)	(8.0, 0.2155781999090175)	(9.0, 0.19213335888459926)	('>10', 2.442879449019714)	('>50', 1.4192850869142317)	('>100', 1.7788394512346428)	('>500', 0.2788675719866535)	('>1k', 0.27972534861877674)	('>5k', 0.0830108345792569)	('>10k+', 9.19449364243132)
DRR049669_2	(1.0, 75.69560747190629)	(2.0, 6.124424132663006)	(3.0, 1.0928261245474689)	(4.0, 0.5779673729196567)	(5.0, 0.4323543416975202)	(6.0, 0.330112209121309)	(7.0, 0.2740348897699122)	(8.0, 0.20155360099666214)	(9.0, 0.17259563756290894)	('>10', 2.368814243599305)	('>50', 1.6073964678178085)	('>100', 1.476201069330315)	('>500', 0.28832600247032036)	('>1k', 0.2598528291492339)	('>5k', 0.060559603722819)	('>10k+', 9.037374002725553)
DRR076623_1	(1.0, 76.12693128499063)	(2.0, 17.125712092191197)	(3.0, 3.9335225765038637)	(4.0, 0.9949471360237343)	(5.0, 0.3418392809449458)	(6.0, 0.14701726436004875)	(7.0, 0.08505992991527424)	(8.0, 0.0720930888600216)	(9.0, 0.04909216770875055)	('>10', 0.5651519387434245)	('>50', 0.10905193002135158)	('>100', 0.16088246985696836)	('>500', 0.02139896027559672)	('>1k', 0.07721165437898951)	('>5k', 0.06962801675964697)	('>10k+', 0.12046020846543297)
DRR076623_2	(1.0, 78.93319434748729)	(2.0, 15.34319123793618)	(3.0, 3.4262127518311036)	(4.0, 0.8420436190938541)	(5.0, 0.3212006875447273)	(6.0, 0.13416063979615284)	(7.0, 0.06411344851113934)	(8.0, 0.05212202738331746)	(9.0, 0.03710807503282972)	('>10', 0.45158188588427345)	('>50', 0.10290286849991316)	('>100', 0.13245937958485726)	('>500', 0.011069056134917436)	('>1k', 0.054724648942587224)	('>5k', 0.058752173433319836)	('>10k+', 0.03516315290343762)
DRR076624_1	(1.0, 77.24047279332157)	(2.0, 16.091207138577413)	(3.0, 3.8027881581132155)	(4.0, 1.0710044604613218)	(5.0, 0.3702182469925673)	(6.0, 0.14116578457563264)	(7.0, 0.10518500222541274)	(8.0, 0.06715733631484166)	(9.0, 0.05917315962366516)	('>10', 0.5850325332009773)	('>50', 0.13213634994833157)	('>100', 0.16726861619294042)	('>500', 0.009743043374324427)	('>1k', 0.07989107857239786)	('>5k', 0.05866448457913478)	('>10k+', 0.018891813926139676)
DRR076624_2	(1.0, 80.3274077993502)	(2.0, 14.0086545672394)	(3.0, 3.3219651604528098)	(4.0, 0.871224611120767)	(5.0, 0.3002482163303918)	(6.0, 0.14119699309818304)	(7.0, 0.07915539746422391)	(8.0, 0.04912432352408858)	(9.0, 0.0571771325712554)	('>10', 0.4848527921235713)	('>50', 0.10084714735766012)	('>100', 0.1204957681183966)	('>500', 0.0069355661759786715)	('>1k', 0.05346425935480088)	('>5k', 0.013208400232331621)	('>10k+', 0.06404186548598048)
