Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
DRR049655	(2.0, 39.0)	(3.0, 2.0)	(4.0, 4.0)	(5.0, 13.0)	(6.0, 28.0)	(7.0, 19.0)	(8.0, 43.0)	(9.0, 55.0)	(10.0, 79.0)	(11.0, 96.0)	(12.0, 105.0)	(13.0, 143.0)	(14.0, 202.0)	(15.0, 233.0)	(16.0, 402.0)	(17.0, 624.0)	(18.0, 877.0)	(19.0, 1375.0)	(20.0, 1862.0)	(21.0, 2602.0)	(22.0, 3510.0)	(23.0, 4957.0)	(24.0, 7568.0)	(25.0, 11995.0)	(26.0, 19241.0)	(27.0, 30800.0)	(28.0, 48897.0)	(29.0, 74816.0)	(30.0, 111279.0)	(31.0, 158704.0)	(32.0, 213886.0)	(33.0, 288622.0)	(34.0, 405260.0)	(35.0, 594443.0)	(36.0, 867162.0)	(37.0, 1566599.0)	(38.0, 4837774.0)	(39.0, 10430863.0)
DRR049656	(2.0, 60.0)	(3.0, 2.0)	(4.0, 8.0)	(5.0, 11.0)	(6.0, 31.0)	(7.0, 27.0)	(8.0, 45.0)	(9.0, 39.0)	(10.0, 84.0)	(11.0, 76.0)	(12.0, 127.0)	(13.0, 162.0)	(14.0, 178.0)	(15.0, 236.0)	(16.0, 402.0)	(17.0, 647.0)	(18.0, 931.0)	(19.0, 1305.0)	(20.0, 1791.0)	(21.0, 2485.0)	(22.0, 3429.0)	(23.0, 4763.0)	(24.0, 7371.0)	(25.0, 11502.0)	(26.0, 18399.0)	(27.0, 29309.0)	(28.0, 46510.0)	(29.0, 71803.0)	(30.0, 106077.0)	(31.0, 150872.0)	(32.0, 207783.0)	(33.0, 282357.0)	(34.0, 396262.0)	(35.0, 575781.0)	(36.0, 849944.0)	(37.0, 1539547.0)	(38.0, 4708175.0)	(39.0, 10860648.0)
DRR049657	(2.0, 64.0)	(3.0, 2.0)	(4.0, 11.0)	(5.0, 17.0)	(6.0, 49.0)	(7.0, 33.0)	(8.0, 53.0)	(9.0, 77.0)	(10.0, 124.0)	(11.0, 162.0)	(12.0, 160.0)	(13.0, 191.0)	(14.0, 253.0)	(15.0, 315.0)	(16.0, 487.0)	(17.0, 758.0)	(18.0, 1049.0)	(19.0, 1532.0)	(20.0, 2075.0)	(21.0, 2716.0)	(22.0, 3794.0)	(23.0, 5271.0)	(24.0, 7938.0)	(25.0, 12112.0)	(26.0, 19756.0)	(27.0, 31473.0)	(28.0, 49496.0)	(29.0, 76216.0)	(30.0, 112865.0)	(31.0, 160546.0)	(32.0, 221816.0)	(33.0, 301871.0)	(34.0, 427367.0)	(35.0, 623200.0)	(36.0, 923201.0)	(37.0, 1670296.0)	(38.0, 5166963.0)	(39.0, 11087084.0)
DRR049658	(2.0, 44.0)	(3.0, 2.0)	(4.0, 5.0)	(5.0, 18.0)	(6.0, 41.0)	(7.0, 25.0)	(8.0, 51.0)	(9.0, 56.0)	(10.0, 87.0)	(11.0, 130.0)	(12.0, 147.0)	(13.0, 210.0)	(14.0, 213.0)	(15.0, 342.0)	(16.0, 514.0)	(17.0, 710.0)	(18.0, 1069.0)	(19.0, 1611.0)	(20.0, 2207.0)	(21.0, 2853.0)	(22.0, 3781.0)	(23.0, 5256.0)	(24.0, 7807.0)	(25.0, 11952.0)	(26.0, 18733.0)	(27.0, 29797.0)	(28.0, 46990.0)	(29.0, 70833.0)	(30.0, 104794.0)	(31.0, 149344.0)	(32.0, 204816.0)	(33.0, 278280.0)	(34.0, 394702.0)	(35.0, 581990.0)	(36.0, 843710.0)	(37.0, 1522597.0)	(38.0, 4624373.0)	(39.0, 9351736.0)
DRR049659	(2.0, 59.0)	(3.0, 6.0)	(4.0, 10.0)	(5.0, 28.0)	(6.0, 47.0)	(7.0, 34.0)	(8.0, 56.0)	(9.0, 65.0)	(10.0, 122.0)	(11.0, 151.0)	(12.0, 166.0)	(13.0, 214.0)	(14.0, 262.0)	(15.0, 364.0)	(16.0, 500.0)	(17.0, 783.0)	(18.0, 1238.0)	(19.0, 1691.0)	(20.0, 2284.0)	(21.0, 3065.0)	(22.0, 4187.0)	(23.0, 5753.0)	(24.0, 8632.0)	(25.0, 13503.0)	(26.0, 20889.0)	(27.0, 34000.0)	(28.0, 53332.0)	(29.0, 81158.0)	(30.0, 120972.0)	(31.0, 172647.0)	(32.0, 237068.0)	(33.0, 322586.0)	(34.0, 458378.0)	(35.0, 668906.0)	(36.0, 982877.0)	(37.0, 1773771.0)	(38.0, 5397191.0)	(39.0, 11297853.0)
DRR049660	(2.0, 79.0)	(3.0, 2.0)	(4.0, 9.0)	(5.0, 18.0)	(6.0, 29.0)	(7.0, 22.0)	(8.0, 50.0)	(9.0, 69.0)	(10.0, 104.0)	(11.0, 125.0)	(12.0, 162.0)	(13.0, 219.0)	(14.0, 261.0)	(15.0, 336.0)	(16.0, 522.0)	(17.0, 774.0)	(18.0, 1176.0)	(19.0, 1661.0)	(20.0, 2352.0)	(21.0, 3153.0)	(22.0, 4182.0)	(23.0, 6005.0)	(24.0, 9058.0)	(25.0, 13805.0)	(26.0, 21692.0)	(27.0, 34866.0)	(28.0, 55419.0)	(29.0, 84406.0)	(30.0, 125369.0)	(31.0, 179362.0)	(32.0, 245941.0)	(33.0, 335685.0)	(34.0, 476009.0)	(35.0, 712557.0)	(36.0, 1018562.0)	(37.0, 1826488.0)	(38.0, 5461466.0)	(39.0, 12057568.0)
DRR049661	(2.0, 22.0)	(3.0, 2.0)	(4.0, 4.0)	(5.0, 17.0)	(6.0, 34.0)	(7.0, 16.0)	(8.0, 32.0)	(9.0, 46.0)	(10.0, 81.0)	(11.0, 120.0)	(12.0, 113.0)	(13.0, 153.0)	(14.0, 178.0)	(15.0, 259.0)	(16.0, 388.0)	(17.0, 628.0)	(18.0, 899.0)	(19.0, 1263.0)	(20.0, 1689.0)	(21.0, 2346.0)	(22.0, 3299.0)	(23.0, 4522.0)	(24.0, 6888.0)	(25.0, 10678.0)	(26.0, 17636.0)	(27.0, 27979.0)	(28.0, 44400.0)	(29.0, 68258.0)	(30.0, 101795.0)	(31.0, 145292.0)	(32.0, 199762.0)	(33.0, 271580.0)	(34.0, 382256.0)	(35.0, 561140.0)	(36.0, 821802.0)	(37.0, 1487284.0)	(38.0, 4565774.0)	(39.0, 9730753.0)
DRR049662	(2.0, 81.0)	(3.0, 4.0)	(4.0, 9.0)	(5.0, 28.0)	(6.0, 45.0)	(7.0, 33.0)	(8.0, 75.0)	(9.0, 80.0)	(10.0, 117.0)	(11.0, 132.0)	(12.0, 175.0)	(13.0, 253.0)	(14.0, 271.0)	(15.0, 418.0)	(16.0, 649.0)	(17.0, 928.0)	(18.0, 1350.0)	(19.0, 2063.0)	(20.0, 2670.0)	(21.0, 3797.0)	(22.0, 4862.0)	(23.0, 6906.0)	(24.0, 10381.0)	(25.0, 16065.0)	(26.0, 24645.0)	(27.0, 39264.0)	(28.0, 60407.0)	(29.0, 92027.0)	(30.0, 134930.0)	(31.0, 191807.0)	(32.0, 262070.0)	(33.0, 357285.0)	(34.0, 509051.0)	(35.0, 769669.0)	(36.0, 1096275.0)	(37.0, 1997084.0)	(38.0, 5944738.0)	(39.0, 12519017.0)
DRR049663	(2.0, 38.0)	(3.0, 4.0)	(4.0, 7.0)	(5.0, 11.0)	(6.0, 40.0)	(7.0, 36.0)	(8.0, 36.0)	(9.0, 51.0)	(10.0, 90.0)	(11.0, 99.0)	(12.0, 133.0)	(13.0, 188.0)	(14.0, 206.0)	(15.0, 314.0)	(16.0, 436.0)	(17.0, 706.0)	(18.0, 1029.0)	(19.0, 1464.0)	(20.0, 2045.0)	(21.0, 2714.0)	(22.0, 3618.0)	(23.0, 5001.0)	(24.0, 7688.0)	(25.0, 12069.0)	(26.0, 19082.0)	(27.0, 30466.0)	(28.0, 48326.0)	(29.0, 73312.0)	(30.0, 107881.0)	(31.0, 152874.0)	(32.0, 211548.0)	(33.0, 286070.0)	(34.0, 403886.0)	(35.0, 585024.0)	(36.0, 856030.0)	(37.0, 1537093.0)	(38.0, 4623656.0)	(39.0, 9981116.0)
DRR049664	(2.0, 87.0)	(3.0, 2.0)	(4.0, 15.0)	(5.0, 20.0)	(6.0, 31.0)	(7.0, 15.0)	(8.0, 51.0)	(9.0, 52.0)	(10.0, 91.0)	(11.0, 133.0)	(12.0, 122.0)	(13.0, 203.0)	(14.0, 260.0)	(15.0, 332.0)	(16.0, 529.0)	(17.0, 766.0)	(18.0, 1162.0)	(19.0, 1714.0)	(20.0, 2241.0)	(21.0, 3130.0)	(22.0, 4444.0)	(23.0, 5903.0)	(24.0, 8800.0)	(25.0, 14002.0)	(26.0, 21659.0)	(27.0, 34542.0)	(28.0, 54811.0)	(29.0, 83929.0)	(30.0, 124164.0)	(31.0, 175676.0)	(32.0, 238995.0)	(33.0, 325722.0)	(34.0, 463143.0)	(35.0, 702416.0)	(36.0, 989387.0)	(37.0, 1776499.0)	(38.0, 5342956.0)	(39.0, 11470332.0)
